,TF,target,scenic_weight
0,Arid3a,Sesn1,1.2126883182084678
1,Arid3a,Tbc1d16,1.6601358027998239
2,Arid3a,Alas1,0.6162679557540566
3,Arid3a,Galnt6,2.2896732170200376
4,Arid3a,Ptpre,1.1919615179572733
5,Arid3a,Fam64a,1.0038337195115175
6,Arid3a,Psmd5,0.8624555273324516
7,Arid3a,Prnd,1.4335526657113487
8,Arid3a,Bcl2l11,2.311079887248123
9,Arid3a,Neil3,0.6494251664890544
10,Arid3a,Fyn,1.0178941999117375
11,Arid3a,Ssr2,0.6835248193108125
12,Arid3a,Csgalnact2,1.2125945179736217
13,Arid3a,Lmnb1,0.6244455658923714
14,Arid3a,Plekhg5,1.028774868695981
15,Arid3a,Cdc42,1.0726366834289631
16,Arid3a,Birc3,0.8523160754171064
17,Arid3a,Camkk2,2.24240532292617
18,Arid3a,Slc45a4,0.8669615360617988
19,Arid3a,Baiap2,0.6733051395942181
20,Arid3a,Fbxl20,0.7752957991227709
21,Arid3a,Ccnd2,1.3078980816902015
22,Arid3a,Spire1,1.7668421795997593
23,Arid3a,Cep350,1.0791567424619282
24,Arid3a,Syk,0.8526111180663469
25,Arid3a,Dpp9,3.772119877660474
26,Arid3a,Hk1,0.8180152698473769
27,Arid3a,Hmgn2,0.932171343601317
28,Arid3a,Stxbp5,2.4556593401165077
29,Arid3a,Stt3b,0.6482248493283324
30,Arid3a,Hlx,0.8344706009950912
31,Arid3a,Adap1,0.9141939971810141
32,Arid3a,Ak3,3.874189479760307
33,Arid3a,Lrrfip1,0.6171238171978715
34,Arid3a,Ptdss2,1.3053058211301782
35,Arid3a,Ramp1,3.7350847187300036
36,Arid3a,Arid1b,1.9238990030911431
37,Arid3a,Cish,1.945855062186757
38,Arid3a,Lrrc1,1.9957456529871078
39,Arid3a,Nxn,1.5452896324260847
40,Arid3a,Kif21b,3.5896865805386695
41,Arid3a,Arhgap21,2.2613463305489763
42,Arid3a,Sars,1.5445911419707905
43,Arid3a,Bcl2,2.212417944769263
44,Arid3a,Tcf3,1.4024337054866758
45,Arid3a,Tprgl,3.1271843652860705
46,Arid3a,Sec63,1.4381086423335663
47,Arid3a,Pdxk,1.3964510517404598
48,Arid3a,Plcl2,1.2309334810624122
49,Arid3a,Smchd1,1.2570921037140752
50,Arid3a,Aldh2,2.124603284495656
51,Arid3a,Arhgap6,5.312191330785548
52,Arid3a,Abtb2,1.009368826501237
53,Arid3a,Sec22c,0.9669950808853023
54,Arid3a,Mllt6,0.8101262630701161
55,Arid3a,Sbk1,0.658007870652721
56,Arid3a,Anxa6,0.3577990647569726
57,Arid3a,Tcn2,0.4353418750846215
58,Arid3a,Tnfaip8,0.8175147495977588
59,Arid3a,Ext1,0.4891142347847959
60,Arid3a,Kpnb1,0.41617686312503144
61,Arid3a,Tnrc18,0.12884437902959664
62,Arid3a,Foxp1,0.1434428667860535
63,Arid3a,Pum1,0.09211394873845213
64,Arid3a,Ypel5,0.5021631471699323
65,Arid3a,Ormdl3,0.18059577381565897
66,Arid3a,Thra,0.14172383919444967
67,Arid3a,Sp100,0.131562168241459
68,Arid3a,Klf6,0.28823410320383563
69,Arid3a,1300017J02Rik,0.08900898838530125
70,Arid3a,Dhrs3,0.1372642239636318
71,Arid3a,Tbl1xr1,0.7190245318252773
72,Arid3a,Snx9,0.08393184865877017
73,Arid3a,Rftn1,0.000921244464260805
74,Arid3a,Stk10,0.8153299660528961
75,Arid3a,Stat3,0.320575266825835
76,Arid3a,Smad1,0.002599284398267834
77,Arid3a,Chd3,0.28607888816528565
78,Arid3a,Idh1,0.09538690582470291
79,Arid3a,Wipf1,0.3140208733055273
80,Arid3a,Rapgef3,0.7849312916937538
81,Arid3a,Wls,0.6585695268228067
82,Arid3a,Immt,1.025181318021913
83,Arid3a,Acsl1,0.18536981471416825
84,Arid3a,Fut8,0.4462460915309866
85,Arid3a,Ell2,0.7978333526206638
86,Arid3a,Rsbn1,0.8882405903701346
87,Arid3a,Nfkb1,0.010585030712867797
88,Arid3a,Pcnx,0.09077969884426138
89,Arid3a,B4galt4,0.23463721787134764
90,Arid3a,Ugcg,0.17713520707583633
91,Arid3a,E130308A19Rik,0.17252655533638564
92,Arid3a,Ptpn14,0.2722535306211731
93,Arid3a,Tnik,0.14323601623706297
94,Arid3a,Ugdh,0.8029288808235548
95,Arid3a,Chd8,0.0003728970842819182
96,Arid3a,Rnaset2a,0.1578631058798195
97,Arid3a,Phospho1,1.2830744393443343
98,Arid3a,Jmy,1.2443587983742248
99,Arid3a,Aco1,0.4591922710832052
100,Arid3a,Zdhhc20,0.036921371044566255
101,Arid3a,Casp3,0.5825586579821765
102,Arid3a,Abi2,0.6734182561674039
103,Arid3a,Trim8,0.13685910015397684
104,Arid3a,Ppp1r12a,0.13997039016278565
105,Arid3a,Dck,0.5479720567122008
106,Arid3a,Malt1,0.1977345524797185
107,Arid3a,Mtx2,0.5015923206291095
108,Arid3a,E2f8,0.18043988189575388
109,Arid3a,Plekhg2,0.15127818978989013
110,Arid3a,Dock10,0.19555108696810006
111,Arid3a,Snx30,0.29466107680062087
112,Arid3a,Ero1l,0.03751823975229337
113,Arid3a,Brpf3,0.11548903860188534
114,Arid3a,1700001L05Rik,0.15342324163665425
115,Arid3a,Zfp706,0.824900390606165
116,Arid3a,Btg2,0.18020044977757624
117,Arid3a,Usp36,0.39910987162023115
118,Arid3a,Arglu1,0.1731203790282781
119,Arid3a,Eef1d,0.43216501792906986
120,Arid3a,Ubap2,0.6324802282912997
121,Arid3a,Zbtb46,0.7851000241033205
122,Arid3a,Ticam2,0.2557761377280609
123,Arid3a,Zfp579,0.4044222368446984
124,Arid3a,Cited2,0.5102410839128138
125,Arid3a,Cxcr4,0.12532278125902138
126,Arid3a,Zfp326,0.5352486561009955
127,Arid3a,Nrip1,0.34263875180097536
128,Arid3a,Itgb7,0.30980478015537843
129,Arid3a,Cic,0.18249314425074892
130,Arid3a,Zdhhc9,0.2993510177584233
131,Arid3a,Ssh1,0.05375436089428545
132,Bcl3,Slc7a4,1.7766895090957833
133,Bcl3,Ficd,1.0536190659425515
134,Bcl3,Gpbp1,1.3353430480583142
135,Bcl3,Pcnx,0.7659501833383664
136,Bcl3,Plcl2,0.561780360033141
137,Bcl3,Stt3b,0.5068603114167224
138,Bcl3,Hpn,0.5568238747031212
139,Bcl3,Xdh,1.0072073247465279
140,Bcl3,Smchd1,0.9708260275274846
141,Bcl3,Pik3cg,0.5369370287831449
142,Bclaf1,Usp6nl,0.9551325765522714
143,Bclaf1,Rdx,0.6842786519167076
144,Bclaf1,Ezh2,6.779702083062379
145,Bclaf1,Cdk13,0.667802088781834
146,Bclaf1,Slc16a1,0.6667308124119179
147,Bclaf1,Rad21,3.9457951451359783
148,Bclaf1,Ikzf1,0.7548021459363192
