,TF,target,scenic_weight
0,Atf4,Eif2b2,0.9133236826734686
1,Atf4,Grb10,1.7210408567693918
2,Atf4,Hacd1,1.048078311009107
3,Atf4,Ebag9,0.4504113543005162
4,Atf4,Ssfa2,0.39213981634883865
5,Atf4,Galnt11,0.40671918590674133
6,Atf4,Naf1,0.916026011433816
7,Atf4,Kit,0.47564755117106866
8,Atf4,Dnaja2,2.120895967998894
9,Atf4,Rnf146,0.32931497657809816
10,Atf4,Akirin2,0.71675884917105
11,Atf4,Smn1,0.6326296748300606
12,Atf4,Fam213b,0.3665819851831711
13,Atf4,Ptprs,0.36687294192946196
14,Atf4,Cept1,0.5339328546138158
15,Atf4,Vps13a,1.1425421776096343
16,Atf4,Matr3,0.8109163172952072
17,Atf4,Snrpb2,0.4513869676384865
18,Atf4,Lcorl,1.0025579531570057
19,Cdx2,Igf2bp1,1.1698912103298047
20,Cdx2,Mtus1,0.34396413296052314
21,Cdx2,Zfp131,1.4743365507846233
22,Cdx2,Ubap1,0.5491161403633446
23,Cdx2,Msi2,0.3733116202804806
24,Cdx2,Gabpb1,1.2078115525467246
25,Cdx2,Xiap,1.0328014690237832
26,Cdx2,Haus1,1.6625685552212042
27,Cdx2,Adcy6,0.44606117260823486
28,Cdx2,Sfmbt1,0.470854666752182
29,Cdx2,Dcun1d4,0.44736326863360026
30,Cdx2,Pkdcc,0.4004739652560171
31,Cdx2,Fyco1,0.3705746780885706
32,Cdx2,Bbc3,0.4371826489250588
33,Cdx2,Stambp,1.1975080878363207
34,Cdx2,Il17d,1.199211501987436
35,Cdx2,Stox1,2.0244962368440538
36,Cdx2,Cdkn2b,0.8075439882026976
37,Cdx2,Apbb2,1.771908125194484
38,Cdx2,4930430F08Rik,1.1677016238540243
39,Cdx2,Mars2,0.6278350828987175
40,Cdx2,Nol4l,0.32342273435344704
41,Cebpa,Slc37a1,0.3445255346242169
42,Cebpa,Mapk14,0.8454753791134637
43,Cebpa,Fgf9,0.3996951117348448
44,Cebpa,Kdm3a,0.4599112465462666
45,Cebpa,Setd1b,0.5026971104024349
46,Cebpa,Syne2,0.6853388519994354
47,Cebpa,Zkscan6,0.36082641600941434
48,Cebpa,Hdac7,0.3410616635519926
49,Cebpa,Ago1,0.44889048513780033
50,Cebpa,Zfp839,1.3076026226417796
51,Cebpa,Scn9a,0.7607190160284918
52,Cebpa,Agl,3.6459219212002787
53,Cebpa,Net1,0.33188745737274566
54,Cebpa,Zfp704,0.36655723607121693
55,Cebpa,Adar,0.775977124478649
56,Cebpa,Acap2,0.7732414707270258
57,Cebpa,Fgfr2,1.6010417681901898
58,Cebpa,Topbp1,0.8189520526275287
59,Cebpa,Ankrd6,0.9232317278178584
60,Cebpa,Slc52a2,0.9685967259550347
61,Cebpa,Arhgef18,0.9196555727989084
62,Cebpa,Dhx40,0.8937900727892176
63,Cebpa,Zfp438,2.498765098708675
64,Cebpa,Dlg1,0.8108259989617067
65,Cebpa,Usp36,1.0865042968635004
66,Cebpa,Foxc1,1.0170574907969578
67,Cebpa,Synj2bp,0.7458815474191577
68,Cebpa,Nrbf2,0.87894568427622
69,Cebpa,Ddhd2,1.0521914468111424
70,Cebpa,Fbxl19,1.1810844905736368
71,Cebpa,Mrpl10,0.9352123419756759
72,Cebpa,Ifngr2,0.791612940074401
73,Cebpa,Flad1,1.2380992246917035
74,Cebpa,Inip,1.413785075462142
75,Cebpa,Tcea1,0.818927345606162
76,Cebpa,Agtpbp1,1.8382527480081285
77,Cebpa,Usp31,0.757624755936507
78,Cebpa,Pbx3,1.7608148194489368
79,Cebpa,Lad1,5.012972896956381
80,Cebpa,Ror2,1.0200352681145508
81,Cebpa,Nsmf,2.8285458868141315
82,Cebpa,Api5,1.2204034769303265
83,Cebpa,Zfp160,0.9371799359176115
84,Cebpa,Fam207a,2.178350634045209
85,Cebpa,Zfp92,0.747137890596878
86,Cebpa,Ccdc60,0.7352063861804468
87,Cebpa,Pam,1.0922637670319308
88,Cebpa,Gfod1,0.8266183744524902
89,Cebpa,Mafk,0.9336810254507247
90,Cebpa,Traf6,1.2155817448168749
91,Cebpa,Fbxl5,1.0522178392254182
92,Cebpa,B4galt4,1.0417421149962185
93,Cebpa,Eif4e3,1.5613005548770287
94,Cebpa,Otud1,1.2603551296658828
95,Cebpa,Fam102a,1.572550446935941
96,Cebpa,Deaf1,1.28437172405468
97,Cebpa,Cspp1,1.0323426139879266
98,Cebpa,Rhbdd3,1.1592625971254322
99,Cebpa,Slc43a2,1.0866211204161254
100,Cebpa,Plekhg2,1.1271080321938045
101,Cebpa,Cep57l1,1.2609798784692836
102,Cebpa,Slc19a2,0.9006505000293781
103,Cebpa,Tph1,0.6455454467858385
104,Cebpa,Tmc4,1.7604401644761676
105,Cebpa,Cd9,0.4419584413491543
106,Cebpa,Rora,0.4239111786996006
107,Cebpa,Arhgef15,0.5584209595289927
108,Cebpa,Klhl42,0.6158662738109633
109,Cebpa,Ddb2,0.6812135330780609
110,Cebpa,U2af2,0.43307130405834404
111,Cebpa,Them4,0.6814609124622368
112,Cebpa,Wdr73,0.4079381408050813
113,Cebpa,Sgtb,0.8941922049975101
114,Cebpa,Wnk2,0.5665089642281672
115,Cebpa,2810454H06Rik,0.7417548321056759
116,Cebpg,Tsnax,0.43750473631279047
117,Cebpg,Tbc1d5,1.0406126758181993
118,Cebpg,Chd4,1.4764516117219892
119,Cebpg,Rpl29,2.173142985088573
120,Cebpg,Tmeff1,0.3269921896426582
121,Cebpg,Phf21a,0.6736267979918928
122,Cebpg,B3gnt3,1.8961873462260876
123,Cebpg,Cds1,1.5815494893323667
124,Cebpg,Ube2g1,0.7885764705597098
125,Cebpg,Hspbp1,0.6621255600002726
126,Cebpg,Plrg1,0.6634138514796665
127,Cebpg,Prpf40b,0.7601604600624472
128,Cebpg,Rtn4rl1,2.17284096671083
129,Cebpg,Rfx3,1.5316954428282739
130,Cebpg,Setbp1,0.6787098458876711
131,Cebpg,Miat,1.1306330086925789
132,Cebpg,Cbln1,1.1627532585644615
133,Cebpg,Pde7a,5.566409211898504
134,Cebpg,Tbl1x,1.3657214344997586
135,Cebpg,Sephs1,1.1028373710204158
136,Cebpg,Rusc2,0.9092821663466519
137,Cebpg,Mfsd6,1.8394636485103373
138,Cebpg,Rap1a,1.2588705409541603
139,Cebpg,Ssbp3,1.0327125699722723
140,Cebpg,St3gal3,0.825364326425543
141,Clock,Hap1,0.9738004706661724
142,Clock,Rap1gapos,0.39859390836630754
143,Clock,Ccnd1,0.5826999778471329
144,Clock,Pinlyp,1.0434173879116988
145,Clock,Erbb2,0.3497325665835598
146,Clock,Lrp12,0.43413861230759965
147,Clock,Susd4,1.3893970666064293
148,Clock,Klhl26,0.7668271390181323
149,Clock,Pgap1,1.4374856054900822
150,Clock,Irak1bp1,0.4938433325193376
151,Clock,Fam83g,0.6354111930573804
152,Clock,Lgr4,0.4529996936495458
153,Clock,Zfp512b,0.5126668337274449
154,Clock,Cep170b,3.3572892230098326
155,Clock,AI314180,0.44263131053682503
156,Clock,Sec24d,0.7117041289080371
157,Clock,Serpine2,0.6923397143352896
158,Clock,Spryd3,1.2226940367440138
159,Clock,Vps13c,0.7963160640252558
160,Clock,Fxn,1.4886912784884814
161,Clock,Galnt1,0.9341102885102086
162,Clock,Tmed6,0.8093323380770027
163,Clock,Msra,0.772458765712702
164,Clock,Insl6,0.7348979720545804
165,Clock,Uhrf1bp1l,0.7162659943508387
166,Clock,Pkig,0.2046204364242781
167,Clock,Add3,0.03580678473541647
168,Clock,Rbm25,0.20338551255296236
169,Clock,Nckap1,0.19601721923919668
170,Clock,Mllt10,0.17572060007568732
171,Clock,Nbea,0.01560988448506984
172,Clock,Son,0.007959105029186609
173,Clock,Shoc2,0.29346268549098187
174,Clock,Camta1,0.10462277441327188
175,Clock,Iqcb1,0.19707035948741725
176,Clock,Kctd18,0.38272293751982467
177,Clock,Cdk1,0.11412636891088755
178,Clock,Wwp1,0.002275600443722958
179,Clock,Ptpn4,0.1788608718789487
180,Clock,Hint1,0.06382159910094079
181,Clock,Cpq,0.24584936663491355
182,Clock,Fnip1,0.08405841502836024
183,Clock,Qk,0.5108903715187871
184,Clock,Kdm5b,0.5191210171409846
185,Clock,Prkacb,0.22669469393329633
186,Clock,Rev3l,0.1971151886988827
187,Clock,Ern1,0.4060362016125401
188,Clock,Pdia6,0.24906809189490442
189,Clock,Mum1l1,0.2135742669351776
190,Clock,Eif5a,0.08943421667587961
191,Clock,Fbxl5,0.21844589536019224
192,Clock,Xk,0.5213397094293323
193,Clock,Zfp26,0.1911872733650361
194,Clock,Dennd1b,0.1696244417500445
195,Clock,Sema3c,0.007290025198881289
196,Clock,Tspan33,0.18157890012844846
197,Clock,Dis3l2,0.4336710646504283
198,Clock,Rgmb,0.1970681027392896
199,Clock,Fbxl3,0.3601348633333076
200,Clock,Ift88,0.28845653058126536
201,Clock,Lhfpl4,0.07349821458356434
202,Clock,P2ry1,1.389458677784138
203,Clock,Thada,0.13737559495846097
204,Clock,Pfdn4,0.2613496126423903
205,Clock,Gjc1,0.2628708143854602
206,Clock,Rnf144a,0.14312288638437015
207,Clock,Fyttd1,0.15875405029017964
208,Clock,Ppm1b,0.3648773357424876
209,Clock,Vps8,0.704332074146538
210,Clock,Cadm1,0.10762032847019685
211,Clock,Lrrc8b,0.012126830495029585
212,Clock,Thnsl1,4.156398892518561
213,Clock,Arhgap29,0.4284660244706473
214,Clock,Ptprz1,0.28273343777745297
215,Clock,Parp6,0.25013064262835794
216,Clock,Pgm2l1,0.5148275093442357
217,Clock,Asnsd1,0.16549235426881265
218,Clock,Nfrkb,0.09213105045915604
219,Clock,Cpsf2,0.1712644890247516
220,Clock,Rab3a,0.30614220278459314
221,Clock,Ralbp1,0.08601446949752499
222,Clock,Cd320,0.17251630154909178
223,Clock,Slc31a2,0.1355385214028477
224,Clock,Camk2b,0.5168550115984722
225,Clock,Zc3h7a,0.1354939179132697
226,Clock,Atr,0.4808942298023486
227,Clock,1700019D03Rik,0.10013968830697992
228,Clock,Abhd10,0.2404497170609593
229,Clock,Rexo2,0.13144505011999388
230,Clock,Mcoln3,0.6272888238270808
231,Clock,Dhx35,0.26500931910396985
232,Creb1,1700028J19Rik,1.2417286637972984
233,Creb1,Ppfibp1,1.1754273277054583
234,Creb1,Osgin2,0.495139521546108
235,Creb1,Abhd17c,1.2670197979172113
236,Creb1,Aph1b,0.8945615955445965
237,Creb1,Lrba,7.119617398541545
238,Creb1,Ndrg3,0.6416630338264862
239,Creb1,Cdh2,0.6050803581936138
240,Creb1,Cryba2,0.6497086923843942
241,Creb1,Ppp2cb,0.33539858464439165
242,Creb1,Cox20,0.45355159261008204
243,Creb1,Fam193a,1.4788069738856375
244,Creb1,Rwdd1,0.32694649690263144
245,Creb1,Hspa4l,0.38415407670386925
246,Creb1,Ssh2,1.5129914348366216
247,Creb1,Arl14ep,0.517975445362091
248,Creb1,P2ry1,0.4329060576910966
249,Creb1,Exoc6b,0.8142349376945811
250,Creb1,Mtmr6,1.0516187784244921
251,Creb1,Dnajb9,0.9815665615595471
252,Creb1,Cep76,0.5789797240748153
253,Creb1,Dhx35,0.46144457950247403
254,Creb1,Rassf3,1.8404061532004674
255,Creb1,Ttc14,0.4079059865826913
256,Creb1,Slc16a10,0.4495584585668825
257,Creb1,Ldlrad4,0.5942141807467427
258,Creb1,R3hdm1,1.477623033484491
259,Creb1,Slc7a5,0.4779249334957413
260,Creb1,Tinag,0.7951846116897275
261,Creb1,Rab37,0.4052233445135161
262,Creb1,Fbxw4,2.3947285684211383
263,Creb1,Srgap3,1.7663945038307034
264,Creb1,Ube2e2,3.28305797198188
265,Creb1,Camsap1,1.364270557909218
266,Creb1,Glis3,1.8905551822908835
267,Creb1,Plxnb2,1.1314295892985529
268,Creb1,Hdac8,1.3848097040058909
269,Creb1,Vps4a,0.7689080918482907
270,Creb1,Smg1,0.5155728635850614
271,Creb1,Tbc1d23,1.4559999209092849
272,Creb1,B4galt5,1.2101295899022113
273,Creb1,Mfsd7b,0.9980999003820568
274,Creb1,Tmcc3,1.6377365623332454
275,Creb1,Efcab14,0.5572636567067324
276,Creb1,Sec61a2,0.6473497387691293
277,Creb1,Esrp1,0.7591611320601906
278,Creb1,Cul1,0.20478748629183346
279,Creb1,Azin1,0.12206970125814116
280,Creb1,D1Ertd622e,0.22670293143426226
281,Creb1,Bbx,0.11878721678767097
282,Creb1,Tle1,0.1530338369541282
283,Creb1,Rims2,0.22131338725450383
284,Creb1,Nap1l1,0.19128832343399857
285,Creb1,Clip4,0.0008998518019314091
286,Creb1,Gt(ROSA)26Sor,0.21876861262998126
287,Creb1,Abhd18,0.1176102059928717
288,Creb1,Ccser2,0.14507741029761745
289,Creb1,Rasal2,0.5436906829929518
290,Creb1,Raf1,0.17438130135491442
291,Creb1,Pcmtd1,0.18275466303840643
292,Creb1,Phf20l1,0.22931489708122813
293,Creb1,Pik3c2a,0.02555242059226707
294,Creb1,Nr6a1,0.16943544784312856
295,Creb1,Tmem2,0.2644961677877588
296,Creb1,Zfhx3,0.00011835836555682732
297,Creb1,Arf1,0.10394631091878648
298,Creb1,Birc2,1.0011236903329381
299,Creb1,Atad1,0.190606561982613
300,Creb1,Atp11c,0.60926740791411
301,Creb1,Nek7,2.620345695869422
302,Creb1,Igf1r,0.12681353003726475
303,Creb1,Rap1gds1,0.20258130092040472
304,Creb1,Elavl1,0.150645828840225
305,Creb1,Wapl,0.45435298652307576
306,Creb1,Golga5,0.1885943216525169
307,Creb1,Morf4l2,0.20602094985230768
308,Creb1,Stxbp5,0.003588995521889484
309,Creb1,Kif1a,0.28140003443112227
310,Creb1,Myl12b,0.1411390374411239
311,Creb1,Gmds,0.3131272316307792
312,Creb1,Senp5,0.22033718565414523
313,Creb1,Tmem168,0.27149292261417146
314,Creb1,Bcl2l13,0.27186119518071655
315,Creb1,Gnpnat1,0.32150938208319574
316,Dbp,Hif1a,0.5959158960091235
317,Dbp,Osbpl8,1.6250104841037547
