,TF,target,scenic_weight
0,Arid3a,Pramef8,0.34995864428052603
1,Arid3a,Ank3,0.3751006631362196
2,Arid3a,Arl6,1.070094749996401
3,Arid3a,Zfp787,1.6753296297297455
4,Arid3a,Mbd5,0.4840807080005728
5,Arid3a,Rala,0.33615979070625346
6,Arid3a,Eif3m,1.0010750070104806
7,Arid3a,Rfx3,0.9126955680454513
8,Arid3a,Necap2,0.40840572231739153
9,Arid3a,Wdr73,0.4992222099040865
10,Arid3a,Zkscan6,1.4102180505750412
11,Arid3a,Ccdc9,1.424643014498892
12,Arid3a,0610030E20Rik,1.2390769067397813
13,Arid3a,Hif1a,0.8897875137503786
14,Arid3a,Mlycd,0.999379480849177
15,Arid3a,Txnrd1,0.34460866489855624
16,Arid3a,Atf7ip,1.8373479876171066
17,Arid3a,Eif3d,0.7777130186892481
18,Arid3a,Abca1,1.8264542974114937
19,Arid3a,Arg1,0.7587001506080504
20,Arid3a,Galnt11,2.06521935156753
21,Arid3a,Ralgps2,0.822342463518419
22,Arid3a,Wdr41,0.8389365836076558
23,Arid3a,Nhsl1,1.6435392203582804
24,Arid3a,Ocrl,1.2114240511909002
25,Arid3a,Upp1,1.000747569173173
26,Arid3a,Rfc1,0.7265993900535422
27,Arid3a,Suclg2,0.8420512384457459
28,Arid3a,Vps39,0.9835858764691631
29,Arid3a,Sgms1,1.4561440309267826
30,Arid3a,Ski,1.223789214317551
31,Arid3a,Proser1,0.937932491682598
32,Arid3a,Arhgef15,0.8739299312818161
33,Arid3a,Shb,0.7927666310607642
34,Arid3a,Wif1,2.42926820533636
35,Arid3a,Ddb2,1.6297588939483094
36,Arid3a,Tcf3,1.7280415223071137
37,Ascl1,Rbpj,0.927038919598512
38,Ascl1,Spag6l,0.4991139971742638
39,Ascl1,March11,0.9198011918862645
40,Ascl1,Mfsd6l,0.7040354071192076
41,Ascl1,Net1,1.3159338980326718
42,Ascl1,Pde4a,1.3018760167991894
43,Ascl1,Nmt1,0.5325729227152088
44,Ascl1,Usp36,0.40973311199409895
45,Ascl1,Cd9,3.2086705099588
46,Ascl1,Fam155a,2.801362753453446
47,Ascl1,Pard3b,1.3984910891972064
48,Ascl1,Pkp3,0.903808850891347
49,Ascl1,Fkbp11,2.333141696094454
50,Ascl1,Lmx1b,0.8774222103417405
51,Ascl1,Cflar,1.3818287245247198
52,Ascl1,Hmces,1.9068573446776005
53,Ascl1,Prdm11,1.6618201604542515
54,Ascl1,Mfsd1,0.8714817920556756
55,Ascl1,Ipo11,1.134319412076887
56,Ascl1,March8,0.6743330216860531
57,Ascl1,Foxj3,2.3398304332541047
58,Ascl1,Acsl3,0.5436024823021393
59,Ascl1,Fign,0.7985086015958944
60,Ascl1,Lig3,0.9185933379525353
61,Ascl1,Zfp239,0.6213908869506727
62,Ascl1,Pdzd4,0.6718125625107196
63,Atf3,Sept7,0.8894279025055922
64,Atf3,Tmod3,0.37053464775229733
65,Atf3,Sema3c,0.8742304334890009
66,Atf3,Bambi,1.4050019284391986
67,Atf3,Pdlim5,0.6645470517585179
68,Atf3,Usf3,3.4925624037527423
69,Atf3,Lamb1,0.4101109638358899
70,Atf3,Spata1,0.4228720976090845
71,Atf3,Rab6a,0.6968593204916348
72,Atf3,Smim14,0.502282347886199
73,Atf3,Tia1,0.6286098523221676
74,Atf3,Micu3,1.025110718470944
75,Atf3,Camk2n2,0.7849753152057307
76,Atf3,Wwp1,0.4703378857354378
77,Atf3,Cacna2d1,0.5222404437626413
78,Atf3,Ubtd2,1.1862038600189349
79,Atf3,Irs4,0.3765247692099058
80,Atf3,Sfxn2,1.6294098857983275
81,Atf3,Dhx40,0.5574788845906986
82,Atf3,Celf2,0.51458875329277
83,Atf3,Zbtb7b,1.1651765620638246
84,Atf3,Csf2ra,0.7414695123713673
85,Atf3,Chd6,3.5084053058905105
86,Atf3,Rgs17,4.613494203332417
87,Atf3,Mxi1,1.7502653208136705
88,Atf3,Son,1.2390654443158646
89,Atf3,Shf,2.336430426373092
90,Atf3,Ddx19a,0.48912940950188544
91,Atf3,Snn,0.5250962130259081
92,Atf3,Fam110a,1.2144346099423362
93,Atf3,Egln3,0.6742455412175691
94,Atf3,Ube2j1,0.47251488815835113
95,Atf3,Gstm2,5.623287123427399
96,Atf3,Gdap1l1,1.739229496075128
97,Atf3,Pcsk4,0.5376263696797978
98,Atf3,Ccdc61,0.4552949965978222
99,Atf3,Cdkn1a,8.755405964993773
100,Atf3,Pygl,2.9647631905448955
101,Atf3,Nhej1,0.7416238230756178
102,Atf3,Cd200,3.672324742073844
103,Atf3,St8sia2,0.7883897719739156
104,Atf3,C77080,1.6219389328328353
105,Atf3,Bcam,0.5221026091329749
106,Atf3,Hes1,2.356938277891011
107,Atf3,Ttc5,0.94454758337118
108,Atf3,Hbegf,0.004239937947821486
109,Atf3,Spry1,0.0675225937439583
110,Atf3,Arih1,0.16871215424371314
111,Atf3,Rev3l,0.1981571291263222
112,Atf3,Ino80,0.18714067021719338
113,Atf3,Ube2b,0.15374435121287958
114,Atf3,Leng8,0.20878160044261124
115,Atf3,Cep162,0.29483842518608216
116,Atf3,Abcf1,0.42581195763684687
117,Atf3,Dgke,1.329058195760676
118,Atf3,Zc3h13,0.13336012347637907
119,Atf3,Zfp472,0.1641938024169217
120,Atf3,Tial1,0.43197922701479413
121,Atf3,Saraf,0.14031340681545368
122,Atf3,Cdk5rap2,0.7719014308633729
123,Atf3,Klhdc2,0.1575533471948393
124,Atf3,Rps29,1.0426957017678742
125,Atf3,Ankrd17,0.0038712763174340564
126,Atf6b,Ccdc149,0.5275868069046485
127,Atf6b,Ergic2,0.41918442683308643
128,Atf6b,Ctnnb1,0.48626618493700197
129,Atf6b,Cers2,1.3063110910568672
130,Atf6b,Cx3cl1,6.836270610706931
131,Atf6b,Pon3,0.48126286893336745
132,Atf6b,Gmpr,0.6322335435752544
133,Atf6b,Enc1,0.4210399319333856
134,Atf6b,Ppp6r2,0.6783840037515592
135,Atf6b,Slc7a14,0.9170296865297447
136,Atf6b,Vcp,0.34859656466859656
137,Atf6b,Ptpn14,0.3345951843973452
138,Atf6b,Cox17,0.8864122056589336
139,Atf6b,Ppm1h,0.7152857959114644
140,Atf6b,Gabarap,0.0928919894459052
141,Atf6b,Brk1,0.061923817937635815
142,Atf6b,Tmed3,0.29226503603294723
143,Atf6b,Prpf19,0.042092389896194626
144,Atf6b,Tfcp2,0.5746908134272951
145,Atf6b,Oaf,0.5766041419038457
146,Atf6b,Osbpl1a,0.21292646683356298
147,Atf6b,Wdr44,0.3193572724051294
148,Atf6b,Prr12,0.9679689239674416
149,Atf6b,Doc2b,0.8752355245730906
150,Atf6b,Sorbs1,0.3928709024298051
151,Atf6b,Hlcs,0.4516440127284462
152,Atf6b,Slc24a2,0.2770106208391844
153,Atf6b,Fam214a,0.4703041668255158
154,Atf6b,Vps16,0.33302215958277037
155,Atf6b,Gpatch2,0.003340905017316385
156,Atf6b,Ctps,0.0012391945779457372
157,Atf6b,Mief2,0.32759828082456227
158,Atf6b,Cryl1,0.005492191958957853
159,Atf6b,Necap2,0.2479417490229378
160,Atf6b,Foxj3,5.494206938515646e-17
161,Atf6b,S100a11,0.38590329694582254
162,Atf6b,Chmp6,0.17150451030999928
163,Atf6b,Abhd11,0.11299754088278119
164,Atf6b,Plod2,0.10540558211465205
165,Atf6b,G6pc2,0.3721070897945382
166,Atf6b,Med12l,0.9385415096544467
167,Atf6b,Robo1,0.21705133525858392
168,Atf6b,Acsl5,0.13518427023822926
169,Atf6b,Zdhhc17,0.5586027758475043
170,Atf6b,Nr6a1,0.113869133119294
171,Atf6b,Pcdh15,0.9271367974822077
172,Atf6b,Slc6a19,0.34110267769336855
173,Atf6b,Ldlr,0.019712771919651633
174,Atf6b,Napepld,0.9298317128438587
175,Atf6b,Dip2b,0.2936396598515075
176,Atf6b,Srp9,0.2044682028660544
177,Atf6b,Erp44,0.5696029973340466
178,Atf6b,Gpc4,0.3517939683746031
