,TF,target,weight,pvals_wy
0,Sox4,Ptma,0.9042839058227801,0.004
1,Etv1,2610002M06Rik,0.6680362591994256,0.004
2,Creb3l2,Idh1,0.6680525202992023,0.004
3,Creb3l2,Csnk2a1,0.6689750992265309,0.004
4,Xbp1,Dnajb9,0.6691980514224323,0.004
5,Xbp1,Rbbp6,0.6694098418250835,0.004
6,Creb3l2,Kif1b,0.6715867407487324,0.004
7,Etv1,Bmpr1a,0.6727363306614125,0.004
8,Sox9,Casz1,0.6735585089289813,0.004
9,Pax4,Dram2,0.6747776257269928,0.004
10,Creb3l2,Rrbp1,0.6748126943737631,0.004
11,Xbp1,Canx,0.6750933363703986,0.004
12,Creb3l2,Sec16a,0.6751520935226052,0.004
13,Maff,Gse1,0.6755687829585877,0.004
14,Mnx1,Pdx1,0.6761437063840785,0.004
15,Sox9,Flrt1,0.6782507700853406,0.004
16,Creb3l2,Pja2,0.6674809871981906,0.004
17,Maff,Rmi1,0.6668894168894168,0.004
18,Xbp1,Pip5k1b,0.6664742513294151,0.004
19,Etv1,Cltc,0.6658981115502854,0.004
20,Pdx1,Dedd,0.6507955411585367,0.004
21,Xbp1,Alcam,0.6519123033828915,0.004
22,Xbp1,Pam,0.6520168573148706,0.004
23,Etv1,Pigp,0.6522336507451864,0.004
24,Sox9,Foxp4,0.6535136401756203,0.004
25,Creb3l2,Spcs3,0.6538559019872329,0.004
26,Jund,Sept7,0.654833600661764,0.004
27,Mnx1,Npepl1,0.6783389866440535,0.004
28,Klf8,Usp3,0.6548640039206077,0.004
29,Jund,Runx1t1,0.6578123892371414,0.004
30,Pax4,Eif2b2,0.6583313729017616,0.004
31,Etv1,Ncam1,0.6587049420329997,0.004
32,Creb3l2,Nup160,0.6591221196760708,0.004
33,Etv1,Smarca1,0.660496758631087,0.004
34,Etv1,Bex1,0.6632430750077809,0.004
35,Creb3l2,Gfpt1,0.665437400198524,0.004
36,Arx,Peg3,0.6561246200607903,0.004
37,Creb3l2,Canx,0.6505560344099106,0.004
38,Xbp1,Morf4l2,0.6787630932367774,0.004
39,Xbp1,Bex1,0.6800515894745943,0.004
40,Mnx1,Insm1,0.7004662759446945,0.004
41,Mnx1,Cyb5r3,0.7004662759446945,0.004
42,Pax4,Foxp1,0.7026771104781528,0.004
43,Jund,Camk2n1,0.7049959023464458,0.004
44,Mnx1,Mtss1,0.7050264112658661,0.004
45,Maff,Irf2bpl,0.7054749700076344,0.004
46,Nkx6-1,Cited2,0.7057536392113506,0.004
47,Mnx1,Tle6,0.7073659480375898,0.004
48,Mnx1,Mapre2,0.7073659480375898,0.004
49,Mnx1,Ube2e3,0.7079034391534391,0.004
50,Mnx1,Csnk1a1,0.7079034391534391,0.004
51,Mnx1,Nkx6-1,0.7079034391534391,0.004
52,Mnx1,Gnas,0.7098707368296506,0.004
53,Maff,Smarce1,0.7106508875739646,0.004
54,Maff,Rgs17,0.7106508875739646,0.004
55,Pax4,Cdc42,0.6984513241103751,0.004
56,Mnx1,Stx16,0.6983917750318087,0.004
57,Creb3l2,Srebf2,0.697731591448931,0.004
58,Maff,Srsf7,0.6971908312048181,0.004
59,Creb3l2,Rap1gap,0.6827448566579002,0.004
60,Etv1,Sgms1,0.6869552049168217,0.004
61,Sox9,Zfp292,0.6875402940482742,0.004
62,Foxa3,Sh3pxd2a,0.6875905769171472,0.004
63,Sox9,Mad2l2,0.6885393061185408,0.004
64,Pax4,Btg2,0.6901242043390291,0.004
65,Maff,Cct2,0.6933761617574221,0.004
66,Pdx1,Gng12,0.6800439314085203,0.004
67,Maff,Eps8,0.6938081819554169,0.004
68,Sox9,Sox4,0.694234446124431,0.004
69,Pax4,Tmem206,0.6942673736260463,0.004
70,Maff,Foxp1,0.6950310559006212,0.004
71,Maff,Tpm4,0.6956115779645191,0.004
72,Maff,Runx1t1,0.6956115779645191,0.004
73,Maff,Map1b,0.6956115779645191,0.004
74,Sox9,Neurod1,0.6962462025725551,0.004
75,Mnx1,Chga,0.6939736346516008,0.004
76,Jund,Cck,0.6503831417624522,0.004
77,Etv1,Ncoa7,0.6500629685157422,0.004
78,Sox9,Rif1,0.6496054817275747,0.004
79,Pax4,Camk2n1,0.5956129001341767,0.004
80,Pax4,Kmt2e,0.5966407802058876,0.004
81,Zfp711,Ssb,0.601493916525489,0.004
82,Maff,Ppm1d,0.6027302813017099,0.004
83,Etv1,Add3,0.6034324337326213,0.004
84,Zfp711,Ranbp3,0.6060606060606061,0.004
85,Foxa3,1600014C10Rik,0.6081130570656597,0.004
86,Pax4,Map1lc3a,0.6082342109192256,0.004
87,Jund,Gse1,0.6098096144693004,0.004
88,Foxa3,Nup50,0.6122390845243357,0.004
89,Klf8,Snap91,0.6132616487455197,0.004
90,Foxa3,Miat,0.6152104204786318,0.004
91,Pdx1,Syt13,0.6154700636128249,0.004
92,Ing4,Cnst,0.6176810923397362,0.004
93,Klf3,Gspt1,0.6181939034653281,0.004
94,Atf3,Spata1,0.5952203136669156,0.004
95,Mnx1,Dgat1,0.5930334827232819,0.004
96,Foxa3,Setd5,0.5925446552288817,0.004
97,Klf8,Hif1a,0.5913564150852286,0.004
98,Foxa2,Zfp36,0.582418797234282,0.004
99,Gata6,Dnajc1,0.5827175697865352,0.004
100,Foxa3,Thoc7,0.5829822251481238,0.004
101,Foxa2,Litaf,0.5830388454275695,0.004
102,Klf8,Peg10,0.5836828059473884,0.004
103,Gata6,Runx1t1,0.5838286442370605,0.004
104,Klf8,Neil2,0.5853211009174313,0.004
105,Creb3l2,Elovl5,0.6198058252427185,0.004
106,Foxa2,Ldb1,0.5875899736922934,0.004
107,Gata6,Tax1bp1,0.5876393006148442,0.004
108,Foxa2,Map1b,0.5878833989736245,0.004
109,Pdx1,Mboat2,0.5880077369439072,0.004
110,Foxa2,Ptma,0.5885085932611792,0.004
111,Foxa2,Nck1,0.5889991964106341,0.004
112,Pax4,Prdm16,0.589172957006892,0.004
113,Klf8,Cep126,0.5905844155844155,0.004
114,Gata6,Pabpc1,0.5876393006148442,0.004
115,Atf3,Hps1,0.621410081078441,0.004
116,Klf8,Syne1,0.6221869048577022,0.004
117,Ovol2,Sec62,0.6223146223146223,0.004
118,Foxa3,Btg1,0.6411361626878869,0.004
119,Klf3,Rab22a,0.6414728682170543,0.004
120,Jund,Gspt1,0.6415447009360622,0.004
121,Klf8,Znrf3,0.6418044341919775,0.004
122,Klf3,Usp3,0.6420780208211487,0.004
123,Klf3,Tsc22d1,0.6421957671957672,0.004
124,Foxa3,Rph3al,0.642413455548634,0.004
125,Klf8,Smc6,0.6398095276125064,0.004
126,Creb3l2,Cadps,0.643390203632361,0.004
127,Arx,A1cf,0.6444824808699154,0.004
128,Creb3l2,Smg7,0.6445945676848939,0.004
129,Klf8,Tspan13,0.6449998995358557,0.004
130,Klf3,Ldb1,0.6454457225017973,0.004
131,Etv1,Ccnd2,0.6458372703412074,0.004
132,Pax4,Stx16,0.6469717453021495,0.004
133,Creb3l2,Pcyt1a,0.6479735318444996,0.004
134,Xbp1,Ncoa7,0.6442236414438045,0.004
135,Pax4,Eif1,0.7116034303534303,0.004
136,Pax4,Smad1,0.6396575018577315,0.004
137,Xbp1,Hdlbp,0.6370553408904924,0.004
138,Sox9,Foxp1,0.6225206611570249,0.004
139,Mnx1,Sh2d3c,0.6235198040016333,0.004
140,Creb3l2,Wasl,0.6237244897959184,0.004
141,Zfp711,Taf15,0.6237458193979932,0.004
142,Mnx1,Gtf2e2,0.6251418382233749,0.004
143,Klf8,Cldn10,0.6253510578543344,0.004
144,Klf8,Tle1,0.6267679900744417,0.004
145,Maff,Smad1,0.6392494089834515,0.004
146,Creb3l2,Gria2,0.6279787606488505,0.004
147,Creb3l2,Ripply3,0.6301297983982326,0.004
148,Klf3,Gng12,0.632638312214003,0.004
149,Klf8,Atxn1,0.6328023828023828,0.004
150,Creb3l2,Mapk8,0.633295154339679,0.004
151,Klf3,Pabpc1,0.6335545264978485,0.004
152,Creb3l2,Tspan13,0.6352548140770252,0.004
153,Creb3l2,Rab3a,0.6352548140770252,0.004
154,Foxa3,Scap,0.6286342224189991,0.004
155,Mnx1,Hmgn3,0.7131093544137022,0.004
156,Mnx1,Flrt1,0.696062800250644,0.004
157,Nkx6-1,Casz1,0.7138176169590643,0.004
158,Pdx1,Map1b,0.8002640095384091,0.004
159,Pax4,Jund,0.8013662637940094,0.004
160,Pax4,Bnip3l,0.8021685033771774,0.004
161,Pax4,Mob4,0.8021685033771774,0.004
162,Jund,Klf3,0.8022340242538919,0.004
