,gene,out_degree
0,Xbp1,1304.5943345396138
1,Pdx1,1181.8793617577448
2,Pax4,1143.7619031023219
3,Ybx1,744.1929681177687
4,Fev,348.8996691486068
5,Etv1,232.93988220127517
6,Yy1,225.6631549101673
7,Foxa3,177.29379875406164
8,Foxa2,137.2476241415139
9,Gata6,69.28823745770507
10,Jund,53.45715660770655
11,Lhx1,49.70607531192471
12,Sox4,36.88518041661351
13,Nr3c1,16.740567110581136
14,Atf3,14.942085744692625
15,Mnx1,13.290252486938861
16,Elk1,9.712093355526887
17,Maff,9.245463415613592
18,Zbtb7b,3.5064300389871486
19,Mxd4,3.3564003375321017
20,Ilf2,2.527930409591348
21,Mxi1,2.424890849532709
22,Ing4,2.2195136788919814
23,Srebf2,2.180409201591245
24,Tcf7l1,1.4176297835338394
25,Hnf1b,1.1448150025385637
26,Vdr,0.775884874605573
27,Elf3,0.7753494756904792
