,TF,target,weight,pvals_wy
0,Pax4,Gad1,0.8009222185470815,0.0
1,Xbp1,Tmed2,0.675645398228073,0.0
2,Ybx1,Rpl22l1,0.6764645706881266,0.0
3,Xbp1,Cycs,0.6771277945524582,0.0
4,Xbp1,Dnajb9,0.6779137894957104,0.0
5,Xbp1,Ghr,0.6781188723223204,0.0
6,Pdx1,Syt13,0.6794562673028878,0.0
7,Xbp1,Fmn2,0.6795830230826507,0.0
8,Jund,Cck,0.6797481982032629,0.0
9,Xbp1,Serpine2,0.6797955469728676,0.0
10,Xbp1,Rbm47,0.6802320311791897,0.0
11,Pdx1,Car8,0.6808528712198437,0.0
12,Xbp1,Srprb,0.6813697789226387,0.0
13,Pdx1,Cln6,0.6815269651856573,0.0
14,Xbp1,Arfgef3,0.675377548743469,0.0
15,Pax4,Cnot7,0.6816714937041102,0.0
16,Xbp1,Ociad2,0.6822894819630873,0.0
17,Ybx1,Dda1,0.6826176336226587,0.0
18,Pdx1,Enpp2,0.683285006841728,0.0
19,Fev,Eif1,0.6834453356456391,0.0
20,Ybx1,2010320M18Rik,0.683967663471169,0.0
21,Xbp1,Pdcl,0.6844365312107248,0.0
22,Foxa2,Rpl7,0.6849387849387849,0.0
23,Foxa2,Peg3,0.685070642056196,0.0
24,Xbp1,Aldh9a1,0.685717518172476,0.0
25,Pdx1,Acvr1c,0.6857230845035723,0.0
26,Foxa2,Bex2,0.6864385614385614,0.0
27,Xbp1,Pip5k1b,0.6864772584762391,0.0
28,Xbp1,Pofut2,0.6867186325910846,0.0
29,Xbp1,Pin1,0.6819345738776164,0.0
30,Xbp1,Prss50,0.675242772630874,0.0
31,Foxa2,Arx,0.6740754985664427,0.0
32,Xbp1,Abr,0.6740658573672009,0.0
33,Xbp1,Pdia5,0.6491078031381584,0.0
34,Etv1,H2afv,0.6510857094293121,0.0
35,Etv1,Gabpb1,0.6551924684671586,0.0
36,Etv1,Baz2b,0.656515373352855,0.0
37,Pdx1,Cytip,0.6567800829875519,0.0
38,Pax4,Gse1,0.6570366960591636,0.0
39,Pax4,Plk2,0.6574203975353259,0.0
40,Xbp1,Iapp,0.6575035256223036,0.0
41,Pdx1,Serf2,0.6582575043876875,0.0
42,Pax4,Hnrnpk,0.6586961099120914,0.0
43,Xbp1,Papss2,0.6598290598290598,0.0
44,Pax4,Hsp90ab1,0.6602620982502378,0.0
45,Xbp1,Acsl4,0.6604347826086957,0.0
46,Pax4,Raly,0.6606503115264797,0.0
47,Etv1,Rgs17,0.6608809166948701,0.0
48,Etv1,Sfxn2,0.6608809166948701,0.0
49,Xbp1,Scg2,0.6612218444868749,0.0
50,Etv1,Dr1,0.6617305268133831,0.0
51,Pdx1,Kcnmb2,0.662275207112548,0.0
52,Ybx1,B3gat3,0.6629681782108372,0.0
53,Etv1,Lmbrd1,0.6636584454409566,0.0
54,Xbp1,Bbip1,0.6654079260530248,0.0
55,Jund,Malat1,0.6664416249563496,0.0
56,Foxa2,Map1b,0.6685081416960248,0.0
57,Pax4,Chgb,0.670498536493249,0.0
58,Pax4,Zfand3,0.6708683473389356,0.0
59,Sox4,Actg1,0.6710447885911648,0.0
60,Pax4,Zcchc11,0.6710977033293051,0.0
61,Ybx1,Ddrgk1,0.6721153846153847,0.0
62,Xbp1,Nenf,0.6867186325910846,0.0
63,Xbp1,Tssc4,0.6484179646574003,0.0
64,Xbp1,Itm2b,0.686796785304248,0.0
65,Xbp1,Mettl1,0.6873248635451817,0.0
66,Xbp1,Bet1,0.6911806276681667,0.0
67,Xbp1,Lman1,0.6911806276681667,0.0
68,Xbp1,Rpn1,0.6911806276681667,0.0
69,Xbp1,Slc7a14,0.6914503963577268,0.0
70,Xbp1,Magt1,0.6918551956306793,0.0
71,Xbp1,Ncam1,0.6921913421398753,0.0
72,Xbp1,Uba5,0.6924569665713458,0.0
73,Xbp1,Tubb4b,0.6924613878399168,0.0
74,Xbp1,Rpl36al,0.6924613878399168,0.0
75,Xbp1,Srp9,0.6924613878399168,0.0
76,Xbp1,1810058I24Rik,0.6924613878399168,0.0
77,Xbp1,Kdelr2,0.6924613878399168,0.0
78,Xbp1,Ssr2,0.6924613878399168,0.0
79,Xbp1,Guk1,0.6910790441070387,0.0
80,Xbp1,Nnat,0.6925546685178757,0.0
81,Xbp1,Ostc,0.6927706667898896,0.0
82,Xbp1,Tmed3,0.6927706667898896,0.0
83,Xbp1,Hspa5,0.6927706667898896,0.0
84,Xbp1,Sec61b,0.6927706667898896,0.0
85,Xbp1,Pdia6,0.6927706667898896,0.0
86,Xbp1,Spcs2,0.6927706667898896,0.0
87,Xbp1,Pdia4,0.6927706667898896,0.0
88,Xbp1,Rpn2,0.6927706667898896,0.0
89,Xbp1,Krtcap2,0.6928673509159413,0.0
90,Xbp1,Rnase4,0.6930933796227109,0.0
91,Pdx1,Slc7a6,0.6935799235833318,0.0
92,Fev,Gspt1,0.6940381998108462,0.0
93,Xbp1,Elp3,0.6942389506387602,0.0
94,Xbp1,Dad1,0.6927706667898896,0.0
95,Xbp1,Vcp,0.6910790441070387,0.0
96,Xbp1,Mydgf,0.691042211622301,0.0
97,Xbp1,Lrpap1,0.691042211622301,0.0
98,Xbp1,Wfs1,0.687670485542826,0.0
99,Ybx1,Zfat,0.6880427441863245,0.0
100,Foxa2,Foxp1,0.6880705345379259,0.0
101,Pdx1,Meg3,0.6881514743556971,0.0
102,Xbp1,Fbxl17,0.6881720430107527,0.0
103,Ybx1,Cox5b,0.688242139260948,0.0
104,Foxa2,Irf2bpl,0.6884570899838076,0.0
105,Foxa2,Junb,0.6884570899838076,0.0
106,Foxa2,Smarce1,0.6887880162110653,0.0
107,Pdx1,Kctd8,0.688859370418903,0.0
108,Ybx1,Slc38a4,0.6894541630386847,0.0
109,Xbp1,P4hb,0.6894744432906427,0.0
110,Xbp1,Morf4l2,0.6895862078775551,0.0
111,Xbp1,2810428I15Rik,0.6895862078775551,0.0
112,Xbp1,Fam174a,0.6895862078775551,0.0
113,Xbp1,Rnaset2a,0.6895862078775551,0.0
114,Xbp1,Pkp4,0.6896151996151996,0.0
115,Xbp1,Trip12,0.6896250593800579,0.0
116,Xbp1,Serp1,0.6896908255691718,0.0
117,Pax4,Ccdc88a,0.6897993411200958,0.0
118,Ybx1,Fam174a,0.6898106308341756,0.0
119,Xbp1,Noct,0.6899578059071729,0.0
120,Xbp1,Blcap,0.6899963942587294,0.0
121,Xbp1,Mrps28,0.6902054355049383,0.0
122,Xbp1,F3,0.6902054355049383,0.0
123,Xbp1,Gmppb,0.6904463986747265,0.0
124,Xbp1,Higd1a,0.6906168074782943,0.0
125,Xbp1,Ppp3cb,0.6906406871891445,0.0
126,Xbp1,Zfp330,0.6908638507421279,0.0
127,Pax4,Prdm16,0.6871472970877031,0.0
128,Xbp1,Copa,0.6943261774997902,0.0
129,Etv1,Serinc1,0.6483148822869955,0.0
130,Etv1,Runx1t1,0.6481853887974494,0.0
131,Xbp1,9530068E07Rik,0.5986437594380222,0.0
132,Xbp1,Prpf38a,0.5987595641085092,0.0
133,Ybx1,Rbck1,0.5996095055450726,0.0
134,Pax4,Foxp4,0.5996670196310484,0.0
135,Pax4,Ptprs,0.5996670196310484,0.0
136,Xbp1,Fkbp4,0.6001031991744066,0.0
137,Gata6,Esco1,0.6002059881845476,0.0
138,Yy1,Appl1,0.601029601029601,0.0
139,Yy1,Tpbg,0.6013012577973208,0.0
140,Yy1,Hnf1b,0.6029164837251249,0.0
141,Yy1,Phyhipl,0.6033679995302026,0.0
142,Yy1,Fxr1,0.6036151422816712,0.0
143,Yy1,Bbx,0.6037992979558126,0.0
144,Pax4,Kcnh2,0.5983040656811727,0.0
145,Pax4,Myt1,0.6046189249473783,0.0
146,Xbp1,Scfd1,0.6058223227458128,0.0
147,Xbp1,Nelfe,0.6058223227458128,0.0
148,Pax4,St3gal6,0.6065020076961687,0.0
149,Gata6,Ebag9,0.6069530681881747,0.0
150,Xbp1,Derl3,0.6082599753187988,0.0
151,Foxa3,Kdm1a,0.6083648762705633,0.0
152,Yy1,Luc7l3,0.6087621460662418,0.0
153,Yy1,Camk2n2,0.6089453294064244,0.0
154,Yy1,Cops2,0.609345447265409,0.0
155,Yy1,Hbp1,0.6097110971109712,0.0
156,Yy1,Sf3b1,0.6097937639987412,0.0
157,Yy1,Snrpe,0.6101154381709564,0.0
158,Pdx1,Ubqln2,0.610690851339491,0.0
159,Fev,Wdr12,0.6055947872393206,0.0
160,Pax4,Sox4,0.5969424460431655,0.0
161,Xbp1,Srm,0.5967942381598861,0.0
162,Yy1,Lmo4,0.5961195988377542,0.0
163,Mnx1,Pdx1,0.5883703799991333,0.0
164,Gata6,Tiparp,0.588390619405657,0.0
165,Lhx1,Sox9,0.5891085104088016,0.0
166,Ybx1,Drg2,0.5898188937836515,0.0
167,Pax4,Vasp,0.5901541623843782,0.0
168,Pax4,Actb,0.5901541623843782,0.0
169,Pax4,Top1,0.5901541623843782,0.0
170,Pax4,Cyth2,0.5901541623843782,0.0
171,Etv1,Klf6,0.5906638749352241,0.0
172,Fev,Cops2,0.5907291408252708,0.0
173,Foxa3,Cacna2d1,0.591198136934308,0.0
174,Pax4,Cdk4,0.5915091960766151,0.0
175,Pax4,Marcksl1,0.5915091960766151,0.0
176,Pax4,1110012L19Rik,0.5915091960766151,0.0
177,Yy1,Rps14,0.5916754478398314,0.0
178,Lhx1,Gata6,0.5925033293973656,0.0
179,Xbp1,Shoc2,0.5925454147160718,0.0
180,Foxa3,Slc35d3,0.5927902842052971,0.0
181,Ybx1,Ndufa10,0.5928562495054661,0.0
182,Pax4,Cck,0.5928655356517079,0.0
183,Xbp1,Raver1,0.5939982648740669,0.0
184,Yy1,Evi5,0.5940165903155932,0.0
185,Xbp1,Fam159b,0.5950529728791871,0.0
186,Ybx1,Cytip,0.5950784826684108,0.0
187,Yy1,Pkn2,0.595214789933608,0.0
188,Sox4,Rps23,0.5954633154970159,0.0
189,Foxa3,Tmem63b,0.5956163878708463,0.0
190,Etv1,Pex13,0.5959120158136013,0.0
191,Etv1,Grb10,0.5959120158136013,0.0
192,Yy1,Rab14,0.6110054611554987,0.0
193,Pax4,Hpcal1,0.6482582930615994,0.0
194,Yy1,Srek1,0.6110280763076663,0.0
195,Yy1,Eif3m,0.611350966450841,0.0
196,Foxa3,Runx1t1,0.6287028431162269,0.0
197,Etv1,Dgcr8,0.6291536480686695,0.0
198,Xbp1,Slc30a5,0.6298925869244962,0.0
199,Foxa3,Rab6a,0.6302588610748858,0.0
200,Fev,Atp1b3,0.6309110927608037,0.0
201,Foxa3,Nab2,0.6315063601324976,0.0
202,Xbp1,Uap1,0.6316645807259074,0.0
203,Foxa2,Mfap4,0.6319345661450925,0.0
204,Fev,Gnao1,0.633453992815695,0.0
205,Foxa3,Pabpc1,0.6341546593912524,0.0
206,Pdx1,Cd164,0.6342392497737217,0.0
207,Jund,Ier2,0.634752497729337,0.0
208,Gata6,Runx1t1,0.6349371541055553,0.0
209,Foxa3,Ppp3ca,0.6287028431162269,0.0
210,Gata6,Vdac3,0.6349371541055553,0.0
211,Lhx1,Lhx1os,0.6394709941221569,0.0
212,Ybx1,Ripply3,0.6406389389170356,0.0
213,Etv1,Tle1,0.6411839893299248,0.0
214,Fev,Errfi1,0.6425306577480491,0.0
215,Etv1,Lrrc58,0.6427175341897097,0.0
216,Foxa3,Vps37d,0.6427793373889352,0.0
217,Xbp1,Slc16a12,0.6435771597037717,0.0
218,Foxa2,4930579G24Rik,0.6452965145252543,0.0
219,Etv1,Foxp1,0.6463511516196576,0.0
220,Etv1,Lurap1l,0.6466696402022004,0.0
221,Foxa3,Chd4,0.6467879946140815,0.0
222,Pax4,Krt8,0.646844739686248,0.0
223,Foxa3,Foxp1,0.6480895452414439,0.0
224,Foxa3,Bcar1,0.635834689767429,0.0
225,Pax4,Krt7,0.6286078280232956,0.0
226,Foxa2,Hnrnpk,0.6285230363845966,0.0
227,Xbp1,Fbln2,0.6284947172878208,0.0
228,Yy1,Pus3,0.6118097134518078,0.0
229,Yy1,Bnip3l,0.6118629578483593,0.0
230,Etv1,Eif3e,0.6119932657485798,0.0
231,Pax4,Zfand5,0.6119946148344482,0.0
232,Foxa2,Grb10,0.612025352033503,0.0
233,Etv1,Atxn7l3b,0.6127296905222437,0.0
234,Yy1,Akirin2,0.6132408724513988,0.0
235,Ybx1,Cct7,0.6133381829179898,0.0
236,Yy1,Peg3,0.613371235661544,0.0
237,Ybx1,Aldh7a1,0.6134249928016124,0.0
238,Sox4,Cyth2,0.6147711529984676,0.0
239,Etv1,Rnf138,0.6149575817477967,0.0
240,Etv1,Usp3,0.6151766992668779,0.0
241,Pax4,Rbm17,0.6161286829567183,0.0
242,Lhx1,Celf3,0.6183068268629766,0.0
243,Xbp1,Pigt,0.6214105482570418,0.0
244,Foxa3,Arhgef2,0.6215869756912913,0.0
245,Foxa3,D5Ertd579e,0.6218500769244373,0.0
246,Etv1,Pou3f4,0.6227507486058075,0.0
247,Ybx1,Pfn1,0.6228417555258698,0.0
248,Gata6,Rnf146,0.623256866084735,0.0
249,Fev,Gtf2e2,0.6233094079146385,0.0
250,Foxa3,Nup50,0.6239983815432462,0.0
251,Ybx1,Phactr1,0.6255241416531738,0.0
252,Lhx1,Pabpc1,0.6268371881052752,0.0
253,Xbp1,Sec23b,0.6272883973634132,0.0
254,Xbp1,Ufm1,0.6275061879482473,0.0
255,Etv1,Vps4b,0.6279175744371823,0.0
256,Gata6,Sec62,0.6279234907032929,0.0
257,Ybx1,Fdps,0.6113289760348584,0.0
258,Pdx1,Ppp1r1a,0.6945838053622485,0.0
259,Xbp1,Cdh1,0.6891581926337849,0.0
260,Xbp1,Atic,0.6949236925367579,0.0
261,Pax4,Fxr1,0.755363279486279,0.0
262,Pax4,Jun,0.755363279486279,0.0
263,Pax4,Jund,0.755363279486279,0.0
264,Pax4,Cox7a2l,0.755363279486279,0.0
265,Pdx1,Tubb2a,0.7553925549807192,0.0
266,Pdx1,Smyd2,0.7553968253968253,0.0
267,Pax4,Zfp91,0.7554752189147345,0.0
268,Pax4,Rpl21,0.7554752189147345,0.0
269,Pdx1,Smim20,0.7556942009018035,0.0
270,Pax4,Kmt2e,0.7558012519561815,0.0
271,Pdx1,Aldh9a1,0.7569789570241372,0.0
272,Pdx1,1500009L16Rik,0.7570631665299425,0.0
273,Pdx1,Dap,0.7572222222222222,0.0
274,Pax4,Rpl4,0.755363279486279,0.0
275,Pdx1,Tshz1,0.7572222222222222,0.0
276,Pdx1,Mphosph6,0.7576338142527013,0.0
277,Pdx1,Atox1,0.7577245190275669,0.0
278,Xbp1,Aldh7a1,0.6947994371798525,0.0
279,Pdx1,Sptbn1,0.7580864913962759,0.0
280,Pdx1,Nckap1,0.7581724329750174,0.0
281,Pdx1,Wipi1,0.7589581111749104,0.0
282,Pdx1,Exoc7,0.7594363574813812,0.0
283,Pdx1,Ndufb11,0.7598560079443892,0.0
284,Pdx1,Pcsk1,0.7599029569657002,0.0
285,Pdx1,Oat,0.7604374225860304,0.0
286,Pax4,Nipbl,0.7606540880503145,0.0
287,Pax4,Cnot6l,0.7606540880503145,0.0
288,Pdx1,Pak3,0.7607902928657646,0.0
289,Pdx1,Ost4,0.7575210646211502,0.0
290,Pax4,Ldb1,0.755084279812118,0.0
291,Pdx1,Celf4,0.7550651465798046,0.0
292,Pdx1,Rabl6,0.7542666732244738,0.0
293,Pdx1,Hspb8,0.7432289194747667,0.0
294,Pdx1,Pyy,0.7445246967229764,0.0
295,Pax4,Esrp1,0.7450122200608509,0.0
296,Fev,Tpbg,0.7457978299746029,0.0
297,Pdx1,Klhl32,0.7470263955666261,0.0
298,Pdx1,Mrps6,0.7476454117347588,0.0
299,Pdx1,Ero1lb,0.7485813321898227,0.0
300,Pdx1,Sbf2,0.7486860965121834,0.0
301,Pdx1,Lrp8,0.7497296995654267,0.0
302,Pdx1,Igf2bp1,0.750506008855155,0.0
303,Pdx1,Isl1,0.7509766584766584,0.0
304,Pdx1,Mnx1,0.7511724178813486,0.0
305,Pdx1,Pdgfa,0.7520273358367509,0.0
306,Pdx1,Ociad2,0.7520949720670391,0.0
307,Pax4,App,0.7521270942735684,0.0
308,Pdx1,Pcsk2,0.7526976842764861,0.0
309,Pdx1,Hint1,0.7528265830705618,0.0
310,Pdx1,Uso1,0.7528265830705618,0.0
311,Pdx1,Gng12,0.7528265830705618,0.0
312,Pdx1,Dlk1,0.7528265830705618,0.0
313,Pdx1,Dnajc24,0.7528629700055205,0.0
314,Pdx1,Scgn,0.7528978307666833,0.0
315,Pdx1,Meis2,0.7528978307666833,0.0
316,Pdx1,Adra2a,0.7529738696459713,0.0
317,Xbp1,Pawr,0.7530916460010706,0.0
318,Pdx1,Ppa2,0.7533515373104396,0.0
319,Pax4,Ppp3ca,0.7537442396313364,0.0
320,Pdx1,Anapc16,0.7538914339195113,0.0
321,Pdx1,Uba5,0.7542507912255811,0.0
322,Pdx1,Pigp,0.760886542546545,0.0
323,Pax4,Siah1a,0.7425892316999395,0.0
324,Pdx1,Nr3c1,0.7610712615000779,0.0
325,Pdx1,Cox7b,0.761495217318342,0.0
326,Pax4,Rps3a1,0.7909451700158296,0.0
327,Pax4,Eif4b,0.7911330430077048,0.0
328,Pax4,Irf2bpl,0.7911330430077048,0.0
329,Pax4,Ptms,0.7925910497116248,0.0
330,Pax4,Eif2b2,0.7927155545228044,0.0
331,Pax4,Foxp1,0.7934569536423841,0.0
332,Pax4,Cxxc5,0.7942391357086251,0.0
333,Pax4,Srek1,0.7943010140728477,0.0
334,Pax4,Klf13,0.7943010140728477,0.0
335,Pax4,Hbp1,0.7956726399168939,0.0
336,Pax4,Rpl9,0.7958894389652804,0.0
337,Pax4,Eef2,0.7958894389652804,0.0
338,Pax4,Rps9,0.7958894389652804,0.0
339,Pax4,Ubald2,0.7895534623545297,0.0
340,Pax4,Rplp0,0.7958894389652804,0.0
341,Pax4,Cd24a,0.7958894389652804,0.0
342,Pax4,Rpl37a,0.7958894389652804,0.0
343,Pax4,Rpl32,0.7958894389652804,0.0
344,Pax4,Rgs17,0.7958894389652804,0.0
345,Pax4,Hnrnpa1,0.7958894389652804,0.0
346,Pax4,Actg1,0.7958894389652804,0.0
347,Pax4,Pabpc1,0.7958894389652804,0.0
348,Pax4,Igsf8,0.7958894389652804,0.0
349,Pax4,Btg2,0.7958894389652804,0.0
350,Pax4,Map1b,0.7958894389652804,0.0
351,Pax4,Cacna2d1,0.7958894389652804,0.0
352,Pax4,Rpl5,0.7958894389652804,0.0
353,Pax4,Rpl18a,0.7958894389652804,0.0
354,Pax4,Rps23,0.7958894389652804,0.0
355,Pax4,Cops2,0.7893014857348851,0.0
356,Pax4,Chd4,0.7893014857348851,0.0
357,Pax4,Dst,0.7892350043465662,0.0
358,Pax4,Smad1,0.7615762735484525,0.0
359,Pdx1,Cdk2ap2,0.7625,0.0
360,Pdx1,Pdia6,0.7626672829723543,0.0
361,Pdx1,Rpn2,0.7626672829723543,0.0
362,Pdx1,Canx,0.7626672829723543,0.0
363,Pdx1,Hadh,0.7626672829723543,0.0
364,Pdx1,Hdlbp,0.7626672829723543,0.0
365,Pdx1,Lrrc59,0.7626672829723543,0.0
366,Pdx1,Ctnnb1,0.7630238495547668,0.0
367,Pdx1,Sec61b,0.7630238495547668,0.0
368,Pdx1,Angpt2,0.7656363019891501,0.0
369,Pax4,Chd3,0.7680383208826931,0.0
370,Pax4,Btf3,0.7738630143960898,0.0
371,Pax4,Rhobtb3,0.773951491053678,0.0
372,Pdx1,Mpp3,0.7744804915274136,0.0
373,Atf3,Ubtd2,0.7763115545542324,0.0
374,Pax4,Flrt1,0.7767290459209991,0.0
375,Pax4,Cyb5r3,0.7773056703924871,0.0
376,Pax4,Sertad2,0.7824388719631279,0.0
377,Pax4,Rpl28,0.7839433862348958,0.0
378,Pax4,Pnrc1,0.7855100846389339,0.0
379,Pax4,Sf3b1,0.7873080042744396,0.0
380,Pax4,Pcbp2,0.7873080042744396,0.0
381,Pax4,Rassf3,0.7873698950126153,0.0
382,Pax4,Tmem63b,0.7879767955233842,0.0
383,Pax4,Runx1t1,0.7879767955233842,0.0
384,Pax4,Dnaja2,0.7880359645999532,0.0
385,Pax4,Eml4,0.7882466882859656,0.0
386,Pax4,Rpl7,0.7892350043465662,0.0
387,Pdx1,Tram1,0.7614388735196295,0.0
388,Pdx1,Atp1b1,0.7409302395842774,0.0
389,Pdx1,Higd1a,0.7579596894519889,0.0
390,Pdx1,S100a11,0.7409302395842774,0.0
391,Ybx1,Ywhab,0.7088590207820067,0.0
392,Ybx1,Fbxl17,0.7092265947631644,0.0
393,Xbp1,Npnt,0.7099133452370143,0.0
394,Ybx1,Pfdn4,0.7101688908155733,0.0
395,Ybx1,Sesn3,0.7113487428707888,0.0
396,Jund,Actg1,0.7119586402150053,0.0
397,Ybx1,2210016F16Rik,0.7125172583249479,0.0
398,Pdx1,Vgf,0.7128737638161722,0.0
399,Ybx1,Gng4,0.7128939039493601,0.0
400,Pdx1,Frzb,0.7132317787672838,0.0
401,Ybx1,Pomp,0.7132720829114301,0.0
402,Fev,Rap1a,0.7134823194274413,0.0
403,Ybx1,Txnl1,0.7137022397891963,0.0
404,Xbp1,Gltp,0.7087674845898531,0.0
405,Ybx1,Atp5h,0.7138333438088311,0.0
406,Ybx1,Kdelr2,0.7147000549043947,0.0
407,Ybx1,Bet1l,0.7148504426042261,0.0
408,Ybx1,Ndufb11,0.7151290129012902,0.0
409,Ybx1,Rpn1,0.7151290129012902,0.0
410,Ybx1,Ostc,0.7151290129012902,0.0
411,Ybx1,Cox6b1,0.7152315740928412,0.0
412,Pdx1,Dbpht2,0.7155079742708609,0.0
413,Ybx1,Rfc2,0.7155182228933712,0.0
414,Ybx1,Stt3a,0.7155865821034597,0.0
415,Pdx1,Rbp4,0.7157525912242894,0.0
416,Pdx1,1700086L19Rik,0.7157525912242894,0.0
417,Xbp1,Gpd1l,0.7158349035954243,0.0
418,Ybx1,Mydgf,0.715854759881003,0.0
419,Ybx1,Stard3nl,0.7138333438088311,0.0
420,Ybx1,Tmed2,0.7083333333333333,0.0
421,Xbp1,Vps35,0.7081172402954581,0.0
422,Ybx1,Tomm40,0.7070649565873126,0.0
423,Xbp1,Plpp5,0.6950401577673062,0.0
424,Xbp1,Tubb2a,0.6961596140053465,0.0
425,Xbp1,Tusc3,0.6967711859544438,0.0
426,Xbp1,Bex4,0.6967711859544438,0.0
427,Ybx1,Sar1a,0.6971920154923283,0.0
428,Xbp1,Canx,0.6975258000927644,0.0
429,Ybx1,Nudt2,0.697626596612012,0.0
430,Xbp1,Prune2,0.6977458511236232,0.0
431,Xbp1,Arid1a,0.6996312374416342,0.0
432,Xbp1,Arf1,0.6996312374416342,0.0
433,Pdx1,Gnas,0.7409302395842774,0.0
434,Xbp1,Gnas,0.6996675493638823,0.0
435,Xbp1,Ankrd24,0.7015188594798347,0.0
436,Pdx1,Sytl4,0.701815626943926,0.0
437,Xbp1,Pex5l,0.7026600024758604,0.0
438,Xbp1,Dnajc10,0.7031217300313917,0.0
439,Fev,Peli1,0.7039098862473203,0.0
440,Xbp1,Ufc1,0.7039137833238798,0.0
441,Xbp1,Spag9,0.70393816926753,0.0
442,Ybx1,Ghr,0.7046179175835484,0.0
443,Ybx1,Higd1a,0.7048929663608563,0.0
444,Xbp1,Eif3j1,0.704931572866043,0.0
445,Ybx1,Sec24c,0.7055190839694656,0.0
446,Ybx1,Pin1,0.7056546131696056,0.0
447,Xbp1,Lyplal1,0.7057042828187107,0.0
448,Ybx1,Stt3b,0.7060195398676332,0.0
449,Pdx1,Rbm27,0.7063752454058261,0.0
450,Xbp1,Nucb1,0.7066441196040317,0.0
451,Xbp1,Celf4,0.7069636730820701,0.0
452,Ybx1,Bet1,0.7163629574309186,0.0
453,Ybx1,H2afy,0.7163629574309186,0.0
454,Xbp1,Ssu72,0.6996613135471684,0.0
455,Fev,Chgb,0.716491497401984,0.0
456,Pdx1,Papss2,0.7234903381642512,0.0
457,Fev,Sept7,0.7238655996544607,0.0
458,Fev,Phip,0.7238655996544607,0.0
459,Pdx1,Impa1,0.7239253148067737,0.0
460,Pdx1,Tmsb15b2,0.7251765707998628,0.0
461,Fev,Rpl21,0.7258474754200634,0.0
462,Fev,Hnrnpk,0.7266836511951964,0.0
463,Fev,Foxp1,0.7269388954171563,0.0
464,Pax4,Hnrnpd,0.7270935084604937,0.0
465,Fev,Irf2bpl,0.7273740532778143,0.0
466,Pdx1,Tmem163,0.7275922671353251,0.0
467,Pdx1,Gnpnat1,0.7288137110126638,0.0
468,Pax4,Tox3,0.7290184900580197,0.0
469,Fev,Serpini1,0.7300321644308465,0.0
470,Fev,Runx1t1,0.7304875843780135,0.0
471,Pdx1,Mapt,0.731104397241833,0.0
472,Pdx1,Mrps21,0.7319934124792271,0.0
473,Pdx1,Tmem27,0.7334175416436409,0.0
474,Pdx1,Pts,0.7334674799304115,0.0
475,Fev,Eef2,0.7335526315789473,0.0
476,Fev,1110012L19Rik,0.73508818683981,0.0
477,Fev,Tox3,0.73508818683981,0.0
478,Fev,Nono,0.73508818683981,0.0
479,Fev,Map1b,0.73508818683981,0.0
480,Pdx1,Acyp2,0.7373811557340892,0.0
481,Pax4,Ywhaz,0.7380649335018354,0.0
482,Pdx1,Mafb,0.738779729246364,0.0
483,Pdx1,Tmem256,0.7409067561034566,0.0
484,Pdx1,F3,0.716491497401984,0.0
485,Pdx1,Dnajc13,0.7231182706504968,0.0
486,Fev,Eif3e,0.722262161514498,0.0
487,Fev,Pabpc1,0.7273158887940672,0.0
488,Ybx1,Tubg1,0.722014378153826,0.0
489,Ybx1,Dpm3,0.7168245100382409,0.0
490,Ybx1,Atp6v0e,0.7168392106114526,0.0
491,Pax4,Cdc42,0.7168831564360657,0.0
492,Jund,Runx1t1,0.7221150082793919,0.0
493,Pdx1,Pip5k1b,0.7172168260702368,0.0
494,Ybx1,Cox8a,0.7172212195397986,0.0
495,Pdx1,Tspan7,0.7172234427500646,0.0
496,Ybx1,Coa6,0.7173659208546539,0.0
