,gene,pagerank
0,Pdx1,0.21424705203206562
1,Mnx1,0.18402620641026898
2,Xbp1,0.0671785025648333
3,Pax4,0.05387342738552991
4,Ybx1,0.03524072728355854
5,Fev,0.016851609933739353
6,Yy1,0.01461778081406982
7,Foxa3,0.013447873704851919
8,Etv1,0.012804877560050358
9,Lhx1,0.006793499764990213
10,Nr3c1,0.0063177272500738
11,Foxa2,0.005409257030315672
12,Gata6,0.004716127899685396
13,Elk1,0.004621916173191961
14,Maff,0.0034308107739535257
15,Sox4,0.003397163728777299
16,Jund,0.002360834737349508
17,Atf3,0.001983987831375766
18,Srebf2,0.0017955643783888946
19,Mxd4,0.0017955643783888946
20,Zbtb7b,0.0017955643783888946
21,Mxi1,0.0017013526518954592
22,Ing4,0.001512929198908588
23,Ilf2,0.001512929198908588
24,Elf3,0.0012302940194282815
25,Hnf1b,0.0012302940194282815
26,Tcf7l1,0.0008534471134545394
27,Vdr,0.0007457765688906131
