,TF,target,scenic_weight
0,Arnt,Prickle1,0.40143865094111236
1,Arnt,2700046G09Rik,0.5169853736327278
2,Arnt,Osbpl6,0.4597886106746576
3,Arnt,Ano10,0.6133168186216927
4,Arnt,Fdft1,0.4829349344517458
5,Arnt,Dstyk,0.6336931726040402
6,Arnt,Borcs5,1.5202306439192603
7,Arnt,Rbbp7,0.3881688113768997
8,Arnt,Cdc42ep3,0.5041445868710044
9,Arnt,Anapc16,0.45030395818284863
10,Arnt,Foxo3,0.6769888756764912
11,Arnt,Sema3f,0.9435782097471443
12,Arnt,Galnt12,0.670975656780251
13,Arnt,Nxph1,0.4142015146617805
14,Arnt,Iscu,0.5890964273142666
15,Arnt,Vsig10,0.6549851421110606
16,Arnt,Zcwpw1,0.6580751808467137
17,Arnt,Lnpep,0.417101430168034
18,Arnt,Metap1,0.39508064729275005
19,Arnt,Atxn7l3,1.1649779418241581
20,Arnt,Tagap1,0.9604143098444764
21,Arnt,Rnf19a,0.5617694945564996
22,Arnt,1700096K18Rik,0.5118610355146527
23,Arnt,Stx17,1.2506024641216666
24,Arnt,Micu2,0.3443920828853367
25,Arnt,Gm20554,0.3818828500492869
26,Arnt,Srek1,1.1329140931625146
27,Arnt,Cer1,1.85508150538167
28,Arnt,Apobr,1.2415071512000222
29,Arnt,Commd8,2.290449016171803
30,Arnt,Itfg2,1.013948642905281
31,Arnt,Zfp639,1.486572612805729
32,Arnt,Sdcbp2,1.1017935974918418
33,Arnt,Ddias,1.3628009528672755
34,Arnt,Dlg1,4.166019991758638
35,Arnt,Ppfia3,2.5569209261413475
36,Arnt,Adnp2,0.7580507404210337
37,Arnt,Dennd2d,1.1112971473832143
38,Arnt,Nedd4l,0.96007375014809
39,Arnt,Hhex,4.077919386832794
40,Arnt,Acox1,2.10772587496464
41,Arnt,Cela1,1.0493962907891508
42,Arnt,Cyb5r1,1.0271205556089806
43,Arnt,Sgf29,1.35024980801023
44,Arnt,Golga2,1.4642713029417211
45,Arnt,8430408G22Rik,1.388212960084282
46,Arnt,Acsl6,0.8482559587773516
47,Arnt,Lrwd1,0.6899008136672484
48,Arnt,Elf3,0.6777919025586887
49,Arnt,Isca1,0.6736437909729579
50,Arnt,Vdac3,1.2552885719548643
51,Arnt,Zhx2,1.9857220315358342
52,Arnt,1700105P06Rik,2.194411207523549
53,Arnt,Ramp1,2.0118827926350145
54,Arnt,Zfp445,2.010938682527995
55,Arnt,A930033H14Rik,4.419026345666674
56,Arnt,Ppic,1.4447410479048965
57,Arnt,Vps33a,0.6328774210574986
58,Arnt,Tnpo1,0.521308036986063
59,Arnt,Pkig,0.2184437263818248
60,Arnt,Pex2,0.21155129867681408
61,Arnt,Ube2d2a,0.15589297694347606
62,Arnt,Pcm1,0.19011706457021063
63,Arnt,Ube2n,0.16381292265004865
64,Arnt,Ythdc1,0.20137496350257578
65,Arnt,Ctps,0.16086005559809607
66,Arnt,Zfyve16,0.00013138581541048106
67,Arnt,Twsg1,0.23745775182647913
68,Arnt,Thoc7,0.2499376983217971
69,Arnt,Mtpn,0.46207908550365673
70,Arnt,Caprin1,0.18048391649817783
71,Arnt,Mms22l,0.09040886164345556
72,Arnt,Zdhhc1,0.2208448886364964
