,TF,target,scenic_weight
0,Arnt,Cul1,0.4131817447522726
1,Arnt,Bbx,0.3736871074758131
2,Arnt,Ralgps2,0.34752219754847063
3,Arnt,Higd1a,0.5932022352005223
4,Arnt,Pex2,0.5133072256203624
5,Arnt,Osbpl6,0.7219838610814111
6,Arnt,Fbxl19,0.40917054751850745
7,Arnt,Stx17,0.6396162426776872
8,Arnt,Cdc42ep3,0.4293922930298521
9,Arnt,Lrrc42,0.6402378152526155
10,Arnt,Rock2,1.4268816230531407
11,Arnt,Frmd5,1.0149465930793833
12,Arnt,Srek1,0.9687455165283573
13,Arnt,Ano10,0.6061896525189538
14,Arnt,Nacc1,0.36510791745962506
15,Arnt,Tmem126b,0.4015346257094697
16,Arnt,Crebrf,0.4703239262336211
17,Arnt,Eed,0.9425902741857726
18,Arnt,Hhex,4.152831389717229
19,Arnt,Tnpo1,0.8697841427733592
20,Arnt,Vps33a,1.6312960126795615
21,Arnt,Zfp639,0.5889337330579026
22,Arnt,Vdac3,0.47185958496534414
23,Arnt,Cndp2,0.792872992045685
24,Arnt,Apobr,2.531559262691039
25,Arnt,Commd8,1.7808954302385276
26,Arnt,Cramp1l,0.7826685955035227
27,Arnt,Cd9,0.7238389458674173
28,Arnt,Atxn7l3,1.6102155544099968
29,Arnt,Itfg2,1.8617586785456757
30,Arnt,Ramp1,1.5587494733368963
31,Arnt,Dlg1,0.9046440730761408
32,Arnt,Mmp15,1.0790526851822255
33,Arnt,Vmp1,1.2448134393627404
34,Arnt,Ip6k1,0.8330323304320341
35,Arnt,Lmnb2,1.1384958458210936
36,Arnt,Daam1,1.449497972294516
37,Arnt,Sdcbp2,1.3983108483472946
38,Arnt,Dennd2d,3.3467688182760384
39,Arnt,Ppic,1.1811223928761443
40,Arnt,Ppfia3,1.7751327942722308
41,Arnt,Rab11b,0.7367379436532049
42,Arnt,Lrwd1,0.8414239408214816
43,Arnt,Cer1,2.8018976284079495
44,Arnt,Nedd4l,1.478044950637959
45,Arnt,Acsl6,0.8563384015119783
46,Arnt,Elovl2,1.097448925161482
47,Arnt,Fgfr2,1.8328908523922947
48,Arnt,Flii,0.9445940550565148
49,Arnt,Exoc6,1.4262187922594882
50,Arnt,Acox1,0.8654303283320597
51,Arnt,Nfyb,0.8258748547339438
52,Arnt,Tagap1,1.6096476895849718
53,Arnt,Pik3ca,0.7159946110093467
54,Arnt,Zcwpw1,1.2288470704909749
55,Arnt,Golga2,1.5197300882932958
56,Arnt,Smim8,0.2407723788620097
57,Arnt,Cul4a,0.5605704312808988
58,Arnt,Klf6,0.4912424339224721
59,Arnt,Foxo3,0.5472730901294411
60,Arnt,Sema3f,0.6568743295791258
61,Arnt,Gipc1,0.48839966481766883
62,Arnt,Armcx1,0.42058282601112534
63,Arnt,Birc5,2.036906485392612
64,Arnt,1700105P06Rik,1.1021559571535577
65,Arnt,Scaf1,0.5418339004237285
66,Arnt,Clk4,0.5690597999243142
67,Arnt,Wdr18,0.4989855109797068
68,Arnt,B9d2,0.47910951643146854
69,Bhlhe41,Chd1l,0.6882296034699001
70,Bhlhe41,Bahcc1,0.37677515685744806
71,Bhlhe41,Inpp4a,1.2596973369903683
72,Bhlhe41,Fgd2,1.4186102985470808
73,Bhlhe41,Chn2,0.3795607466850875
74,Bhlhe41,Cenpu,1.158640144737031
75,Bhlhe41,Adgrb3,0.4784394535138869
76,Bhlhe41,Pank3,1.0208517785516573
77,Bhlhe41,Socs3,1.7495556627838633
78,Bhlhe41,Hlcs,1.1354920277317557
79,Bhlhe41,Noc3l,0.7407676894981157
80,Bhlhe41,Tstd2,0.38759478289865146
81,Bhlhe41,Dedd2,3.10404229940236
82,Bhlhe41,Dusp4,0.9181673830991213
83,Bhlhe41,Slc25a33,0.7323592610502508
84,Bhlhe41,Foxa3,0.39752483047336973
85,Bhlhe41,Ctdspl,0.7396612403912692
86,Bhlhe41,Kctd1,0.332023302751759
87,Bhlhe41,Mgat3,0.3298204938913915
88,Bhlhe41,Ercc5,1.413094757161161
89,Bhlhe41,Zbed3,1.0219999207192076
90,Bhlhe41,Pik3r3,0.4691628073886764
91,Bhlhe41,Dpp7,2.131303521043762
92,Bhlhe41,Csf2ra,0.8786954626048499
93,Bhlhe41,Mturn,2.6621824455819207
94,Bhlhe41,Spg20,1.496176999165536
95,Bhlhe41,Iqsec1,3.3235963579217556
96,Bhlhe41,Anpep,3.9281360810589065
97,Bhlhe41,Ccdc66,0.7284627899119146
98,Bhlhe41,Fam107b,1.9470458583408266
99,Bhlhe41,Ctsc,2.5662496674083504
100,Bhlhe41,Larp1,0.8434357119612969
101,Bhlhe41,Efcc1,5.167454566027016
102,Cdx2,Slc4a8,1.374058813821981
103,Cdx2,Rabl2,0.509440982231695
104,Cdx2,Spty2d1,1.8808182782051264
105,Cdx2,Tmem53,0.4980871633574182
106,Cdx2,Il17d,0.6028282912336143
107,Cdx2,Zswim5,0.5003890478195233
108,Cdx2,Mapre2,0.46530328973628754
109,Cdx2,Tle6,0.44972744667285336
110,Cdx2,Upf3a,0.7318753904295788
111,Cdx2,Mycn,0.5470821892116065
112,Cdx2,Cxadr,0.5880211601258609
113,Cdx2,Ripk2,0.7822972607592426
114,Cdx2,Gm7334,0.8133291566884976
115,Cdx2,Mnx1,0.5045817072102163
116,Cdx2,Tle4,0.8993022721675187
117,Cdx2,Lpgat1,0.36140716715394755
118,Cdx2,Tcaf1,1.0786338803535762
119,Cdx2,Sulf1,1.2781735128628564
120,Cdx2,Aifm1,2.50311308698455
121,Cdx2,Flrt1,0.3632510048804832
122,Cdx2,Neurog3,0.545937474701434
123,Cdx2,Rbm38,0.5001461677446638
124,Cdx2,Lingo1,0.8316209741924313
125,Cdx2,Lmo1,8.873074781968226
126,Cdx2,Snta1,1.0670730701885174
127,Cdx2,Zfp395,0.75296371309186
128,Cdx2,B3gnt3,1.3270514243956473
129,Cdx2,Cisd2,0.74908218860586
130,Cdx2,Abhd6,1.8793547234794792
131,Cdx2,Gid4,0.7498515262540193
132,Cdx2,Zfp711,0.928661864403625
133,Cdx2,Stmn1,0.8340163564186982
134,Cdx2,Rad51ap1,0.7262573843057619
135,Cdx2,Abi1,1.9621147665473266
136,Cdx2,Arntl,1.0280231985443433
137,Cdx2,Myo1c,2.945110148617259
138,Cdx2,Smyd5,1.9421064825020657
139,Cdx2,Apbb2,5.643653321058433
140,Cdx2,Pgap2,1.6243282896720248
141,Cdx2,Lars2,3.5659537166619524
142,Cdx2,Tbc1d30,1.69088043160575
143,Cdx2,Tdrd5,3.235698720245615
144,Cdx2,Rnf168,0.9704882580339951
145,Cdx2,Zfp873,1.929855440195915
146,Cdx2,Lypd6b,0.9974531689971512
147,Cdx2,1110034G24Rik,1.2046419282335223
148,Cdx2,Ddx24,1.7420321071595544
149,Cdx2,Zfp330,1.9492143799264794
150,Cdx2,Ammecr1,2.019647550536327
151,Cdx2,Mex3b,0.8840441657549306
152,Cdx2,Rai1,0.9817016746919498
153,Cdx2,Ranbp6,4.477057458722636
154,Cdx2,Zfp131,0.7414011449101171
155,Cebpg,Snhg20,1.300926979945537
156,Cebpg,Tbl1x,0.6882455884910792
157,Cebpg,Rab10os,1.0889557750712024
158,Cebpg,Dcdc2a,0.41482914211153293
159,Cebpg,Mfsd6,2.4069221282835556
160,Cebpg,Ksr2,3.6636987574905557
161,Cebpg,Rab3d,0.7073390292238713
162,Cebpg,Pde7a,0.74926682567843
163,Cebpg,Mtus1,0.8932348508066681
164,Cebpg,Sptlc2,2.222885558213728
165,Cebpg,Adpgk,0.7311848394593876
166,Cebpg,Vps37b,0.7105511241770897
167,Cebpg,Sqstm1,0.7407538957354773
168,Cebpg,Rnf145,0.46147766593818584
169,Cebpg,Ttyh2,2.174257618383375
170,Cebpg,4933434E20Rik,0.5682368822144017
171,Cebpg,Matr3,0.2765352961812559
172,Cebpg,Hnrnpl,0.6150052322429876
173,Cebpg,Zfp24,1.4283875547143972
174,Cebpg,Wipf2,5.856962838491801
175,Churc1,Mpped2,0.40486434853717795
176,Churc1,Epb41l3,0.43796870409947114
177,Churc1,Pum2,0.36826499492548836
178,Churc1,Met,2.4201095149096523
179,Churc1,Etv5,0.40225224899888523
180,Churc1,Smarca1,0.9160454174612
181,Churc1,Naa50,0.3698556303984862
182,Churc1,Srsf12,1.0895091396603969
183,Churc1,Runx1t1,0.4327089903905038
