,gene,out_degree
0,Mbd2,793.5325312377154
1,Gata2,321.3807668979556
2,Myc,235.3293793228348
3,Foxo1,224.13774029482698
4,Fli1,202.74464471555567
5,Gata1,169.61386019599468
6,Cux1,156.9407773966646
7,Myb,106.66989815485428
8,Elk3,89.13976612099586
9,Ikzf2,82.65064921594178
10,Sox4,81.02729406289603
11,Rara,60.25292200961148
12,Ybx1,40.01924142947894
13,Irf1,36.53088684451014
14,Nfe2,33.95116393975551
15,Nfia,28.56083859720471
16,Tcf3,18.186409911500046
17,Ets1,17.36804699447786
18,Etv6,14.678883241629755
19,Pbx1,9.383012858064276
20,Tal1,9.374375975344
21,Bcl3,9.136893834012147
22,Rad21,8.308666694500154
23,Taf1,7.498775557812763
24,Cebpa,4.465638823644966
25,Egr1,1.8545382398386807
26,Zfhx2,0.7481570958092124
