,gene,pagerank
0,Mbd2,0.13547800249488373
1,Foxo1,0.04439427974518863
2,Gata2,0.040871123287390745
3,Ybx1,0.03689282177258866
4,Etv6,0.0354770813911498
5,Fli1,0.03165932429740908
6,Gata1,0.027856525802378598
7,Myc,0.027453148497520802
8,Cebpa,0.027110609011854657
9,Sox4,0.023864991558783834
10,Ikzf2,0.017597613181122372
11,Cux1,0.015672127493688393
12,Myb,0.014634224532203019
13,Elk3,0.012848136975657237
14,Taf1,0.01146578537319606
15,Irf1,0.011437574116002975
16,Nfe2,0.010456137341907094
17,Pbx1,0.009787215570207487
18,Rara,0.0076377480633592525
19,Nfia,0.00731873056581253
20,Tcf3,0.004948984961593369
21,Ets1,0.004159069760186981
22,Egr1,0.003171675758428998
23,Bcl3,0.002579239357374207
24,Rad21,0.001986802956319417
25,Tal1,0.001986802956319417
26,Zfhx2,0.0017893241559678202
