,TF,target
0,Arid3a,Rfx3
1,Arnt,1700105P06Rik
2,Arnt,Acox1
3,Arnt,Acsl6
4,Arnt,Ano10
5,Arnt,Apobr
6,Arnt,Atxn7l3
7,Arnt,Borcs5
8,Arnt,Cdc42ep3
9,Arnt,Cndp2
10,Arnt,Commd8
11,Arnt,Dennd2d
12,Arnt,Dlg1
13,Arnt,Eed
14,Arnt,Exoc6
15,Arnt,Frmd5
16,Arnt,Galnt12
17,Arnt,Golga2
18,Arnt,Hhex
19,Arnt,Ip6k1
20,Arnt,Itfg2
21,Arnt,Mcm4
22,Arnt,Micu2
23,Arnt,Mmp15
24,Arnt,Mtpn
25,Arnt,Nedd4l
26,Arnt,Pex2
27,Arnt,Pkig
28,Arnt,Ppfia3
29,Arnt,Ppic
30,Arnt,Ramp1
31,Arnt,Rnf19a
32,Arnt,Rock2
33,Arnt,Scaf1
34,Arnt,Sdcbp2
35,Arnt,Sgf29
36,Arnt,Srek1
37,Arnt,Stx17
38,Arnt,Tagap1
39,Arnt,Tnpo1
40,Arnt,Vdac3
41,Arnt,Vmp1
42,Arnt,Vps33a
43,Arnt,Zcwpw1
44,Arnt,Zfp639
45,Arnt,Zhx2
46,Arx,A1cf
47,Arx,Abcc8
48,Arx,Alcam
49,Arx,Cdh1
50,Arx,Gk
51,Arx,Mctp2
52,Arx,Meis2
53,Arx,Mgst3
54,Arx,Myl12a
55,Arx,Peg10
56,Arx,Peg3
57,Arx,Pyy
58,Arx,Ripply3
59,Arx,Scgn
60,Arx,Slc16a10
61,Arx,Tmem27
62,Ascl1,Foxj3
63,Ascl1,Nup153
64,Ascl1,Rbpj
65,Ascl1,Rnf152
66,Ascl1,Ssfa2
67,Atf1,Pomc
68,Atf1,Ptgr1
69,Atf1,Tmem230
70,Atf1,Trp53rkb
71,Atf1,Utp3
72,Atf3,Actg1
73,Atf3,Adamts9
74,Atf3,Arhgef2
75,Atf3,Bahcc1
76,Atf3,C77080
77,Atf3,Camk2n2
78,Atf3,Cast
79,Atf3,Cd200
80,Atf3,Cdkn1a
81,Atf3,Elavl4
82,Atf3,Grasp
83,Atf3,Gstm2
84,Atf3,Hps1
85,Atf3,Hspbap1
86,Atf3,Ifitm2
87,Atf3,Lrrn3
88,Atf3,Mfap4
89,Atf3,Mmgt1
90,Atf3,Mta1
91,Atf3,Nhej1
92,Atf3,Oaf
93,Atf3,Pla2g2f
94,Atf3,Pygl
95,Atf3,Rgs17
96,Atf3,Shf
97,Atf3,Smurf2
98,Atf3,Snn
99,Atf3,Spata1
100,Atf3,St8sia2
101,Atf3,Usf3
102,Atf3,Wdr61
103,Atf3,Wwox
104,Bach1,Lrrn1
105,Bach1,Me1
106,Bach1,Ocln
107,Bach1,Pak7
108,Bach1,Vamp4
109,Bach2,Zfp638
110,Bptf,Abca3
111,Bptf,Ahcyl2
112,Bptf,Baiap2
113,Bptf,Brsk1
114,Bptf,Chst2
115,Bptf,Ddx6
116,Bptf,Dock9
117,Bptf,Dync1h1
118,Bptf,Fth1
119,Bptf,Myc
120,Bptf,Neo1
121,Bptf,Rpl17
122,Bptf,St3gal6
123,Bptf,Strn
124,Bptf,Sulf2
125,Bptf,Tbc1d1
126,Bptf,Tbc1d14
127,Bptf,Tnfrsf1a
128,Cdx2,Abhd6
129,Cdx2,Abi1
130,Cdx2,Adgrl2
131,Cdx2,Ammecr1
132,Cdx2,Apbb2
133,Cdx2,Arntl
134,Cdx2,B3gnt3
135,Cdx2,Bbc3
136,Cdx2,Cisd2
137,Cdx2,Clip1
138,Cdx2,Gabpb1
139,Cdx2,Gm7334
140,Cdx2,Gnb2
141,Cdx2,Igf2bp1
142,Cdx2,Il17d
143,Cdx2,Lmo1
144,Cdx2,Lypd6b
145,Cdx2,Mnx1
146,Cdx2,Mturn
147,Cdx2,Myo1c
148,Cdx2,Nfkbiz
149,Cdx2,Nr3c1
150,Cdx2,Pgap2
151,Cdx2,Ppm1l
152,Cdx2,Rbm38
153,Cdx2,Ripk2
154,Cdx2,Rragd
155,Cdx2,Sfmbt1
156,Cdx2,Shoc2
157,Cdx2,Slc13a4
158,Cdx2,Slc4a8
159,Cdx2,Smyd5
160,Cdx2,Snta1
161,Cdx2,Spty2d1
162,Cdx2,Sulf1
163,Cdx2,Tcaf1
164,Cdx2,Tle4
165,Cdx2,Trim67
166,Cdx2,Tyw5
167,Cdx2,Usp3
168,Cdx2,Zfp131
169,Cdx2,Zfp330
170,Cdx2,Zfp395
171,Cdx2,Zfp711
172,Cdx2,Zfp760
173,Cdx2,Zmym5
174,Cdx2,Zswim5
175,Cebpa,Acap2
176,Cebpa,Adar
177,Cebpa,Agl
178,Cebpa,B4galt4
179,Cebpa,Cspp1
180,Cebpa,Deaf1
181,Cebpa,Dnajc13
182,Cebpa,Erlin2
183,Cebpa,Fgfr2
184,Cebpa,Map3k2
185,Cebpa,Net1
186,Cebpa,Rfx3
187,Cebpa,Spry1
188,Cebpa,Them4
189,Cebpa,Zfp438
190,Cebpg,Adpgk
191,Cebpg,Ksr2
192,Cebpg,Mfsd6
193,Cebpg,Pde7a
194,Cebpg,Rab10os
195,Cebpg,Sptlc2
196,Churc1,Met
197,Churc1,Pum2
198,Clock,1810062O18Rik
199,Clock,A830080D01Rik
200,Clock,Abhd18
201,Clock,Aco1
202,Clock,Ado
203,Clock,B4galt6
204,Clock,C330018D20Rik
205,Clock,Ccdc90b
206,Clock,Cep112
207,Clock,Crlf2
208,Clock,Csde1
209,Clock,Ctsl
210,Clock,Deaf1
211,Clock,Dennd6a
212,Clock,Dnm1l
213,Clock,Dnttip2
214,Clock,Efr3a
215,Clock,Elf2
216,Clock,Elk4
217,Clock,Elmod2
218,Clock,Epb41l5
219,Clock,Errfi1
220,Clock,Fbxl5
221,Clock,Glb1
222,Clock,Gm11992
223,Clock,Gmfb
224,Clock,Helz
225,Clock,Higd1a
226,Clock,Kctd18
227,Clock,Kif12
228,Clock,Lgr4
229,Clock,Lrp12
230,Clock,Map7d2
231,Clock,Nampt
232,Clock,Nap1l1
233,Clock,Nek6
234,Clock,Nr6a1
235,Clock,Parp6
236,Clock,Pde7a
237,Clock,Pon2
238,Clock,Ppp2r2b
239,Clock,Ptpn4
240,Clock,Qk
241,Clock,Rad21
242,Clock,Rasa1
243,Clock,Rnf130
